0.27, 0, 0, 30.68822, 13.3365, 0, 1164.227, -1231.379, -3.194287, 0.02042972, 0.1612821, 48.29638, 2.713969, 2.01835, 74.95754
 
0.28, -0.185256, 0, 31.35373, 13.35178, 0.78020729116942537692774, 1252.145, -1231.886, -3.194287, 0.02042972, 0.1612821, 50.08794, 2.713969, 2.017848, 74.99622
 
0.29, -0.1915581, -0.00185256, 32.02405, 13.37037, 0.75489214604001709540674, 1343.407, -1232.394, -3.194287, 0.02042972, 0.1612821, 51.88243, 2.713969, 2.017346, 75.03489
 
0.3, -0.1978042, -0.003768141, 32.69588, 13.38897, 0.73108882118871228549750, 1438.03, -1232.903, -3.194287, 0.02042972, 0.1612821, 53.67987, 2.713969, 2.016845, 75.07356
 
0.31, -0.2039821, -0.005746183, 33.3659, 13.40428, 0.7086307857746736481763451966, 1536.025, -1233.411, -3.194287, 0.02042972, 0.1612821, 55.4802, 2.713969, 2.016343, 75.11224
 
0.32, -0.2100792, -0.007786004, 34.04072, 13.42292, 0.68737409741958746547276, 1637.407, -1233.921, -3.194287, 0.02042972, 0.1612821, 57.28343, 2.713969, 2.015841, 75.15092
 
0.33, -0.2160818, -0.009886796, 34.71536, 13.43991, 0.66719021926559764361328, 1742.19, -1234.43, -3.194287, 0.02042972, 0.1612821, 59.08953, 2.713969, 2.015339, 75.18959
 
0.3399999, -0.2219757, -0.01204761, 35.39148, 13.45692, 0.6479664925372916208223851966, 1850.386, -1234.94, -3.194287, 0.02042972, 0.1612821, 60.89849, 2.713969, 2.014837, 75.22827
 
0.3499999, -0.227746, -0.01426737, 36.06907, 13.47394, 0.6296029231202549809864148034, 1962.009, -1235.45, -3.194287, 0.02042972, 0.1612821, 62.71029, 2.713969, 2.014335, 75.26694
 
0.3599999, -0.2333768, -0.01654483, 36.74977, 13.49263, 0.61201104741231245787348, 2077.074, -1235.96, -3.194287, 0.02042972, 0.1612821, 64.52494, 2.713969, 2.013833, 75.30562
 
0.3699999, -0.2388513, -0.0188786, 37.43027, 13.50968, 0.5951097737781466479058748034, 2195.592, -1236.471, -3.194287, 0.02042972, 0.1612821, 66.34239, 2.713969, 2.013331, 75.34429
 
0.3799999, -0.2441525, -0.02126711, 38.11221, 13.52674, 0.57882925755749380150044, 2317.575, -1236.982, -3.194287, 0.02042972, 0.1612821, 68.16263, 2.713969, 2.01283, 75.38297
 
0.3899999, -0.2492627, -0.02370864, 38.79558, 13.54381, 0.56310589190819848718766, 2443.039, -1237.494, -3.194287, 0.02042972, 0.1612821, 69.98567, 2.713969, 2.012328, 75.42165
 
0.3999999, -0.2541619, -0.02620126, 39.48206, 13.56257, 0.5478803230458990532938548034, 2571.995, -1238.006, -3.194287, 0.02042972, 0.1612821, 71.81149, 2.713969, 2.011826, 75.46032
 
0.4099999, -0.2588313, -0.02874288, 40.16663, 13.57801, 0.53309924597954175434532, 2704.457, -1238.518, -3.194287, 0.02042972, 0.1612821, 73.64006, 2.713969, 2.011324, 75.499
 
0.4199999, -0.2632496, -0.03133119, 40.85595, 13.59679, 0.51871776732127626561042, 2840.438, -1239.031, -3.194287, 0.02042972, 0.1612821, 75.47141, 2.713969, 2.010822, 75.53767
 
0.4299999, -0.2673968, -0.03396369, 41.54503, 13.61392, 0.5046914662452258835470, 2979.952, -1239.544, -3.194287, 0.02042972, 0.1612821, 77.30552, 2.713969, 2.01032, 75.57635
 
0.4399998, -0.2712521, -0.03663766, 42.23385, 13.6294, 0.49098253779319847333106, 3123.011, -1240.057, -3.194287, 0.02042972, 0.1612821, 79.14239, 2.713969, 2.009818, 75.61502
 
0.4499998, -0.2747899, -0.03935018, 42.92743, 13.64823, 0.47755440566814314452038, 3269.631, -1240.571, -3.194287, 0.02042972, 0.1612821, 80.98203, 2.713969, 2.009316, 75.6537
 
0.4599998, -0.2779897, -0.04209808, 43.62075, 13.6654, 0.46437484114320110217750, 3419.823, -1241.085, -3.194287, 0.02042972, 0.1612821, 82.8244, 2.713969, 2.008815, 75.69238
 
0.4699998, -0.2808266, -0.04487798, 44.31714, 13.68425, 0.45141530147493728451030, 3573.6, -1241.6, -3.194287, 0.02042972, 0.1612821, 84.66953, 2.713969, 2.008313, 75.73105
 
0.4799998, -0.2832796, -0.04768624, 45.0116, 13.69978, 0.4386490396554298110068451966, 3730.977, -1242.115, -3.194287, 0.02042972, 0.1612821, 86.51742, 2.713969, 2.007811, 75.76972
 
0.4899998, -0.2853193, -0.05051904, 45.7108, 13.71867, 0.4260507263626937318308748034, 3891.968, -1242.63, -3.194287, 0.02042972, 0.1612821, 88.36807, 2.713969, 2.007309, 75.8084
 
0.4999998, -0.2869249, -0.05337223, 46.40805, 13.73422, 0.41359834020857645770368, 4056.582, -1243.146, -3.194287, 0.02042972, 0.1612821, 90.22144, 2.713969, 2.006807, 75.84708
 
0.5099998, -0.2880678, -0.05624148, 47.11005, 13.75314, 0.4012731677387766623832, 4224.835, -1243.662, -3.194287, 0.02042972, 0.1612821, 92.07756, 2.713969, 2.006305, 75.88575
 
0.5199998, -0.2887257, -0.05912216, 47.81177, 13.77039, 0.38905668452377925468172, 4396.743, -1244.178, -3.194287, 0.02042972, 0.1612821, 93.93644, 2.713969, 2.005803, 75.92443
 
0.5299998, -0.2888713, -0.06200941, 48.51487, 13.78766, 0.3769320673571896797265148034, 4572.315, -1244.695, -3.194287, 0.02042972, 0.1612821, 95.79807, 2.713969, 2.005301, 75.9631
 
0.5399998, -0.2884798, -0.06489813, 49.21936, 13.80494, 0.3648858954788468942832, 4751.565, -1245.212, -3.194287, 0.02042972, 0.1612821, 97.66241, 2.713969, 2.0048, 76.00178
 
0.5499998, -0.2875245, -0.06778292, 49.92691, 13.82392, 0.35290512617817744720936, 4934.508, -1245.729, -3.194287, 0.02042972, 0.1612821, 99.52952, 2.713969, 2.004298, 76.04045
 
0.5599998, -0.2859829, -0.07065817, 50.63248, 13.83955, 0.3409770947941860282150, 5121.153, -1246.247, -3.194287, 0.02042972, 0.1612821, 101.3993, 2.713969, 2.003796, 76.07913
 
0.5699998, -0.2838268, -0.073518, 51.34108, 13.85688, 0.3290932006988829815037051966, 5311.511, -1246.766, -3.194287, 0.02042972, 0.1612821, 103.2719, 2.713969, 2.003294, 76.11781
 
0.5799997, -0.2810315, -0.07635627, 52.05274, 13.8759, 0.31724474875188695143782, 5505.596, -1247.284, -3.194287, 0.02042972, 0.1612821, 105.1471, 2.713969, 2.002792, 76.15648
 
0.5899997, -0.2775774, -0.07916658, 52.76239, 13.89156, 0.3054237999119738092084851966, 5703.423, -1247.803, -3.194287, 0.02042972, 0.1612821, 107.025, 2.713969, 2.00229, 76.19516
 
0.5999997, -0.2734366, -0.08194236, 53.47508, 13.90893, 0.2936248724602085306380851966, 5905.002, -1248.322, -3.194287, 0.02042972, 0.1612821, 108.9057, 2.713969, 2.001788, 76.23383
 
0.6099997, -0.268585, -0.08467672, 54.19081, 13.928, 0.28184153955369845280654, 6110.348, -1248.842, -3.194287, 0.02042972, 0.1612821, 110.789, 2.713969, 2.001286, 76.27251
 
0.6199997, -0.2630083, -0.08736257, 54.90453, 13.9437, 0.27007181643213659838768, 6319.474, -1249.362, -3.194287, 0.02042972, 0.1612821, 112.6751, 2.713969, 2.000784, 76.31118
 
0.6299997, -0.2566794, -0.08999266, 55.62128, 13.96111, 0.2583122061368901949102851966, 6532.391, -1249.882, -3.194287, 0.02042972, 0.1612821, 114.5639, 2.713969, 2.000283, 76.34986
 
0.6399997, -0.2495798, -0.09255945, 56.34106, 13.98022, 0.2465617635440063292516651966, 6749.111, -1250.403, -3.194287, 0.02042972, 0.1612821, 116.4554, 2.713969, 1.999781, 76.38853
 
0.6499997, -0.2416995, -0.09505524, 57.05881, 13.99596, 0.23482105572785788343418, 6969.65, -1250.924, -3.194287, 0.02042972, 0.1612821, 118.3496, 2.713969, 1.999279, 76.42721
 
