0.28, 0, 0, 26.11944, 10.2762, 0, 961.3571, -1237.263, -3.194287, 0.02042972, 0.1612821, 43.88644, 2.713969, 2.012554, 62.41068
 
0.29, -0.2043882, 0, 26.7219, 10.29951, 0.86249431926958987754262, 1031.795, -1237.968, -3.194287, 0.02042972, 0.1612821, 45.46677, 2.713969, 2.011863, 62.45385
 
0.3, -0.2111361, -0.002043882, 27.32376, 10.32034, 0.8353062219989468113796451966, 1104.886, -1238.674, -3.194287, 0.02042972, 0.1612821, 47.05066, 2.713969, 2.011172, 62.49701
 
0.31, -0.2178225, -0.004155242, 27.93002, 10.3437, 0.80966812801418316324858, 1180.646, -1239.38, -3.194287, 0.02042972, 0.1612821, 48.63811, 2.713969, 2.010481, 62.54017
 
0.32, -0.2244333, -0.006333467, 28.53647, 10.36542, 0.78541275037529590118136, 1259.085, -1240.086, -3.194287, 0.02042972, 0.1612821, 50.22902, 2.713969, 2.00979, 62.58334
 
0.33, -0.2309558, -0.008577799, 29.14395, 10.38634, 0.7623976589022961572285651966, 1340.22, -1240.794, -3.194287, 0.02042972, 0.1612821, 51.82338, 2.713969, 2.009099, 62.6265
 
0.3399999, -0.2373748, -0.01088736, 29.75494, 10.40895, 0.7404940332001461222253251966, 1424.063, -1241.502, -3.194287, 0.02042972, 0.1612821, 53.42117, 2.713969, 2.008408, 62.66967
 
0.3499999, -0.2436751, -0.01326111, 30.36694, 10.43075, 0.71958666265875526529550, 1510.632, -1242.211, -3.194287, 0.02042972, 0.1612821, 55.02238, 2.713969, 2.007717, 62.71283
 
0.3599999, -0.2498403, -0.01569786, 30.98161, 10.45341, 0.69957498608933061755934, 1599.939, -1242.92, -3.194287, 0.02042972, 0.1612821, 56.62698, 2.713969, 2.007026, 62.75599
 
0.3699999, -0.2558546, -0.01819626, 31.59645, 10.47443, 0.68036864964179392191144, 1692, -1243.631, -3.194287, 0.02042972, 0.1612821, 58.23498, 2.713969, 2.006335, 62.79916
 
0.3799999, -0.2616992, -0.02075481, 32.21395, 10.49631, 0.66188552204447276544666, 1786.83, -1244.342, -3.194287, 0.02042972, 0.1612821, 59.84636, 2.713969, 2.005644, 62.84232
 
0.3899999, -0.2673555, -0.0233718, 32.83413, 10.51906, 0.6440528287528472886288, 1884.444, -1245.054, -3.194287, 0.02042972, 0.1612821, 61.46111, 2.713969, 2.004953, 62.88548
 
0.3999999, -0.2728052, -0.02604535, 33.45445, 10.54015, 0.62680450560247673585292, 1984.857, -1245.766, -3.194287, 0.02042972, 0.1612821, 63.07924, 2.713969, 2.004262, 62.92865
 
0.4099999, -0.2780268, -0.0287734, 34.07828, 10.56295, 0.61008091527181301443416, 2088.084, -1246.479, -3.194287, 0.02042972, 0.1612821, 64.70074, 2.713969, 2.003572, 62.97181
 
0.4199999, -0.2830001, -0.03155367, 34.70309, 10.58494, 0.5938273350838739543387348034, 2194.139, -1247.193, -3.194287, 0.02042972, 0.1612821, 66.32558, 2.713969, 2.00288, 63.01497
 
0.4299999, -0.2877027, -0.03438367, 35.32972, 10.60695, 0.57799461859300694492358, 2303.037, -1247.907, -3.194287, 0.02042972, 0.1612821, 67.95377, 2.713969, 2.002189, 63.05814
 
0.4399998, -0.2921134, -0.0372607, 35.95818, 10.62899, 0.56253957363448030752414, 2414.796, -1248.622, -3.194287, 0.02042972, 0.1612821, 69.58534, 2.713969, 2.001498, 63.1013
 
0.4499998, -0.2962074, -0.04018183, 36.58844, 10.65106, 0.5474197641427214805525651966, 2529.427, -1249.338, -3.194287, 0.02042972, 0.1612821, 71.22024, 2.713969, 2.000808, 63.14447
 
0.4599998, -0.299962, -0.04314391, 37.22052, 10.67315, 0.5325999369942181885333851966, 2646.948, -1250.055, -3.194287, 0.02042972, 0.1612821, 72.8585, 2.713969, 2.000117, 63.18763
 
