 Time (s),Altitude (ft),Vertical velocity (ft/s),Total velocity (ft/s),Mass (lb),Mach number (?)
0,0,0,0,52.429,0.0063911
0.01,0,0,0,52.429,0.0062774
0.02,0.0025764,0.51528,0.51528,52.426,0.0061808
0.03,0.018055,2.5805,2.5805,52.414,0.0064761
0.04,0.058188,5.4464,5.4464,52.393,0.0076826
0.05,0.12712,8.3393,8.3393,52.369,0.009469
0.06,0.22455,11.148,11.148,52.345,0.011523
0.07,0.3498,13.901,13.901,52.321,0.013687
0.08,0.50245,16.63,16.63,52.298,0.015918
0.09,0.68232,19.344,19.344,52.275,0.018192
0.1,0.88944,22.079,22.079,52.252,0.020519
0.11,1.1241,24.849,24.849,52.228,0.022918
0.12,1.3866,27.654,27.654,52.204,0.025363
0.13,1.6773,30.495,30.495,52.18,0.027851
0.14,1.9967,33.37,33.37,52.155,0.030379
0.14983,2.3388,36.231,36.231,52.131,0.032902
0.15889,2.679,38.897,38.897,52.108,0.035254
0.16732,3.0176,41.406,41.406,52.086,0.037472
0.17525,3.3551,43.785,43.785,52.066,0.039579
0.18713,3.897,47.394,47.394,52.042,0.042778
0.20496,4.7909,52.895,52.895,52.006,0.047664
0.2317,6.3161,61.17,61.17,51.95,0.05503
0.27182,9.0174,73.509,73.509,51.864,0.066031
0.32182,13.075,88.791,88.791,51.75,0.079671
0.37182,17.899,104.2,104.2,51.623,0.09346
0.42182,23.499,119.79,119.79,51.495,0.10741
0.47182,29.881,135.5,135.5,51.367,0.12147
0.52182,37.052,151.33,151.33,51.237,0.13565
0.57182,45.02,167.42,167.42,51.107,0.15005
0.62182,53.8,183.78,183.78,50.975,0.1647
0.67182,63.399,200.21,200.21,50.842,0.17942
0.72182,73.822,216.68,216.68,50.708,0.19419
0.77182,85.07,233.26,233.26,50.574,0.20906
0.82182,97.15,249.95,249.95,50.44,0.22402
0.87182,110.07,266.73,266.73,50.304,0.23906
0.92182,123.82,283.58,283.58,50.169,0.25417
0.97182,138.42,300.41,300.42,50.033,0.26928
1.0218,153.87,317.21,317.23,49.897,0.28436
1.0718,170.14,333.91,333.93,49.762,0.29936
1.1218,187.25,350.48,350.52,49.628,0.31425
1.1718,205.19,366.99,367.05,49.494,0.32909
1.2218,223.95,383.42,383.5,49.361,0.34387
1.2718,243.53,399.72,399.82,49.228,0.35854
1.3218,263.92,415.87,415.98,49.097,0.37306
1.3718,285.11,431.83,431.96,48.966,0.38741
1.4218,307.1,447.6,447.75,48.837,0.40161
1.4718,329.87,463.15,463.31,48.709,0.41559
1.5218,353.41,478.47,478.64,48.583,0.42936
1.5718,377.71,493.6,493.78,48.457,0.44296
1.6218,402.76,508.56,508.74,48.333,0.45642
1.6718,428.56,523.38,523.57,48.21,0.46977
1.7218,455.1,538.07,538.27,48.088,0.48299
1.7718,482.37,552.66,552.86,47.966,0.49612
1.8218,510.36,567.13,567.35,47.844,0.50917
1.8718,539.08,581.52,581.75,47.723,0.52214
1.9218,568.51,595.79,596.04,47.603,0.53502
1.9718,598.64,609.55,609.82,47.484,0.54744
2.0218,629.34,618.3,618.58,47.384,0.55539
2.0718,660.27,618.79,619.08,47.329,0.5559
2.1218,691.13,615.77,616.06,17.073,0.55324
2.1718,721.84,612.67,612.96,17.073,0.55051
2.2218,752.4,609.59,609.87,17.073,0.54779
2.2718,782.8,606.52,606.8,17.073,0.5451
2.3218,813.05,603.47,603.74,17.073,0.54242
2.3718,843.15,600.43,600.71,17.073,0.53977
2.4218,873.09,597.41,597.68,17.073,0.53712
2.4718,902.89,594.4,594.67,17.073,0.53447
2.5218,932.53,591.4,591.68,17.073,0.53183
2.5718,962.03,588.42,588.71,17.073,0.52923
2.6218,991.38,585.46,585.75,17.073,0.52663
2.6718,1020.6,582.52,582.8,17.073,0.52404
2.7218,1049.6,579.6,579.87,17.073,0.52146
2.7718,1078.5,576.69,576.96,17.073,0.5189
2.8218,1107.3,573.79,574.06,17.073,0.51635
2.8718,1135.9,570.9,571.17,17.073,0.51381
2.9218,1164.4,568.03,568.3,17.073,0.51128
2.9718,1192.7,565.17,565.44,17.073,0.50877
3.0218,1220.9,562.33,562.6,17.073,0.50629
3.0718,1249,559.5,559.77,17.073,0.50379
3.1218,1276.9,556.68,556.96,17.073,0.50128
3.1718,1304.6,553.88,554.15,17.073,0.49879
3.2218,1332.2,551.09,551.36,17.073,0.49633
3.2718,1359.7,548.32,548.59,17.073,0.49389
3.3218,1387.1,545.56,545.83,17.073,0.49144
3.3718,1414.3,542.81,543.08,17.073,0.48902
3.4218,1441.4,540.07,540.34,17.073,0.48662
3.4718,1468.3,537.35,537.62,17.073,0.48422
3.5218,1495.1,534.64,534.9,17.073,0.48182
3.5718,1521.8,531.94,532.2,17.073,0.47943
3.6218,1548.3,529.25,529.51,17.073,0.47706
3.6718,1574.7,526.57,526.84,17.073,0.4747
3.7218,1600.9,523.9,524.17,17.073,0.47234
3.7718,1627.1,521.25,521.52,17.073,0.46999
3.8218,1653.1,518.61,518.88,17.073,0.46764
3.8718,1678.9,515.98,516.25,17.073,0.46531
