 Time (s),Altitude (ft),Vertical velocity (ft/s),Total velocity (ft/s),Mass (lb),Mach number (?)
0,0,0,0,52.429,0.0068885
0.01,0,0,0,52.429,0.0069976
0.02,0.0025613,0.51227,0.52017,52.426,0.0072022
0.03,0.017877,2.5509,2.5902,52.414,0.0079536
0.04,0.05752,5.3781,5.461,52.393,0.0094871
0.05,0.12557,8.2318,8.3588,52.369,0.011428
0.06,0.22174,11.003,11.172,52.345,0.013434
0.07,0.34535,13.719,13.93,52.321,0.015543
0.08,0.49599,16.411,16.664,52.298,0.017724
0.09,0.67349,19.089,19.383,52.275,0.019953
0.1,0.87786,21.786,22.122,52.252,0.02224
0.11,1.1094,24.519,24.897,52.228,0.024581
0.12,1.3684,27.287,27.707,52.204,0.026975
0.13,1.6553,30.088,30.553,52.18,0.029419
0.14,1.9704,32.925,33.433,52.155,0.031908
0.14981,2.3073,35.742,36.293,52.131,0.034392
0.15885,2.6422,38.366,38.958,52.108,0.036708
0.16727,2.9757,40.837,41.467,52.087,0.038894
0.17519,3.3081,43.18,43.846,52.067,0.040973
0.18705,3.8416,46.725,47.455,52.042,0.044141
0.20486,4.7215,52.128,52.956,52.006,0.04899
0.23156,6.2219,60.256,61.232,51.95,0.056334
0.27161,8.8782,72.377,73.572,51.865,0.06729
0.32161,12.873,87.411,88.878,51.75,0.080938
0.37161,17.622,102.57,104.31,51.623,0.094753
0.42161,23.134,117.91,119.92,51.496,0.10873
0.47161,29.416,133.35,135.65,51.367,0.12289
0.52161,36.472,148.92,151.5,51.238,0.13712
0.57161,44.313,164.73,167.62,51.107,0.15152
0.62161,52.952,180.8,184,50.975,0.16623
0.67161,62.395,196.93,200.46,50.842,0.18103
0.72161,72.645,213.08,216.95,50.709,0.19582
0.77161,83.706,229.32,233.56,50.575,0.21067
0.82161,95.58,245.64,250.28,50.44,0.22569
0.87161,108.27,262.02,267.09,50.305,0.24078
0.92161,121.78,278.43,283.96,50.169,0.25597
0.97161,136.11,294.8,300.83,50.034,0.27111
1.0216,151.26,311.09,317.66,49.898,0.28617
1.0716,167.22,327.24,334.39,49.763,0.30122
1.1216,183.98,343.24,351,49.628,0.3161
1.1716,201.54,359.13,367.55,49.495,0.33088
1.2216,219.89,374.93,384.02,49.361,0.34579
1.2716,239.03,390.6,400.36,49.229,0.36056
1.3216,258.95,406.12,416.54,49.097,0.375
1.3716,279.64,421.48,432.55,48.967,0.38937
1.4216,301.09,436.68,448.37,48.838,0.40361
1.4716,323.3,451.7,463.96,48.71,0.41764
1.5216,346.26,466.54,479.32,48.583,0.43148
1.5716,369.95,481.23,494.49,48.458,0.4451
1.6216,394.38,495.77,509.48,48.334,0.45852
1.6716,419.53,510.18,524.33,48.211,0.47185
1.7216,445.39,524.46,539.06,48.088,0.48507
1.7716,471.97,538.6,553.68,47.966,0.4982
1.8216,499.25,552.6,568.2,47.845,0.51127
1.8716,527.23,566.46,582.63,47.724,0.5242
1.9216,555.89,580.18,596.95,47.603,0.53706
1.9716,585.23,593.39,610.76,47.485,0.54949
2.0216,615.11,601.77,619.58,47.384,0.55738
2.0716,645.21,602.18,620.13,47.329,0.55796
2.1216,675.24,599.19,617.15,17.073,0.55539
2.1716,705.13,596.15,614.07,17.073,0.55272
2.2216,734.86,593.14,611.02,17.073,0.54999
2.2716,764.44,590.14,607.98,17.073,0.5473
2.3216,793.87,587.13,604.96,17.073,0.54471
2.3716,823.16,584.12,601.95,17.073,0.5421
2.4216,852.29,581.1,598.96,17.073,0.53945
2.4716,881.27,578.08,595.98,17.073,0.53688
2.5216,910.09,575.1,593.02,17.073,0.53434
2.5716,938.78,572.15,590.07,17.073,0.53178
2.6216,967.31,569.23,587.15,17.073,0.52919
2.6716,995.7,566.34,584.24,17.073,0.52658
2.7216,1023.9,563.46,581.34,17.073,0.52406
2.7716,1052,560.59,578.46,17.073,0.52161
2.8216,1080,557.73,575.59,17.073,0.51908
2.8716,1107.8,554.86,572.74,17.073,0.51646
2.9216,1135.5,551.99,569.9,17.073,0.51393
2.9716,1163,549.13,567.07,17.073,0.51145
3.0216,1190.4,546.3,564.26,17.073,0.50889
3.0716,1217.6,543.49,561.47,17.073,0.5064
3.1216,1244.8,540.71,558.69,17.073,0.50399
3.1716,1271.7,537.96,555.92,17.073,0.50158
