 Time (s),Altitude (ft),Vertical velocity (ft/s),Total velocity (ft/s),Mass (lb),Mach number (?)
2.1413,410.83,358.73,371.04,60.213,0.33451
2.1694,420.91,357.43,369.73,60.212,0.33338
2.1963,430.5,356.19,368.49,60.212,0.33229
2.2268,441.33,354.78,367.09,60.212,0.33103
2.2725,457.51,352.67,364.99,60.212,0.32915
2.3225,475.09,350.35,362.71,60.212,0.32711
2.3725,492.55,348.04,360.43,60.212,0.32507
2.4058,504.11,346.49,358.92,60.212,0.32372
2.4387,515.47,344.98,357.43,60.212,0.32238
2.4779,528.97,343.18,355.67,60.212,0.32079
2.5279,546.08,340.91,353.43,60.212,0.3188
2.5779,563.06,338.65,351.19,60.212,0.31688
2.622,577.96,336.68,349.23,60.212,0.31519
2.6554,589.16,335.2,347.75,60.212,0.3139
2.6905,600.91,333.63,346.2,60.212,0.31247
2.7405,617.54,331.41,344,60.212,0.31054
2.7905,634.05,329.18,341.81,60.212,0.30855
2.8405,650.46,326.96,339.62,60.212,0.30677
2.8905,666.75,324.74,337.45,60.212,0.30478
2.934,680.84,322.81,335.56,60.212,0.3031
2.984,696.92,320.61,333.4,60.212,0.30114
3.034,712.9,318.42,331.26,60.212,0.29916
3.084,728.77,316.25,329.12,60.212,0.29724
3.134,744.52,314.1,326.99,60.212,0.29534
3.183,759.85,312,324.91,60.212,0.29348
3.233,775.4,309.86,322.8,60.212,0.29161
3.283,790.84,307.72,320.69,60.212,0.2898
3.333,806.17,305.58,318.6,60.212,0.28792
3.383,821.4,303.45,316.51,60.212,0.28615
3.433,836.52,301.32,314.43,60.212,0.28443
3.483,851.53,299.19,312.35,60.212,0.28263
3.533,866.44,297.08,310.29,60.212,0.28093
3.583,881.24,294.98,308.23,60.212,0.27906
3.633,895.94,292.89,306.18,60.212,0.27729
3.683,910.53,290.82,304.14,60.212,0.27547
3.733,925.02,288.74,302.11,60.212,0.27369
3.783,939.4,286.68,300.08,60.212,0.27201
3.833,953.68,284.62,298.06,60.212,0.27012
3.883,967.86,282.56,296.05,60.212,0.26826
3.933,981.94,280.5,294.05,60.212,0.26656
3.983,995.91,278.45,292.05,60.212,0.26489
4.033,1009.8,276.41,290.06,60.212,0.26321
4.083,1023.6,274.37,288.08,60.212,0.26149
4.133,1037.2,272.35,286.11,60.212,0.2598
4.183,1050.8,270.33,284.14,60.212,0.25803
4.233,1064.3,268.32,282.18,60.212,0.25621
4.283,1077.6,266.31,280.22,60.212,0.2545
4.333,1090.9,264.31,278.28,60.212,0.25286
4.383,1104.1,262.32,276.34,60.212,0.25112
4.433,1117.1,260.33,274.41,60.212,0.24931
4.483,1130.1,258.35,272.48,60.212,0.24758
4.533,1143,256.36,270.56,60.212,0.246
4.583,1155.7,254.39,268.65,60.212,0.24425
4.633,1168.4,252.42,266.74,60.212,0.24231
4.683,1181,250.45,264.84,60.212,0.2405
4.733,1193.4,248.49,262.95,60.212,0.23884
4.783,1205.8,246.54,261.06,60.212,0.23722
4.833,1218.1,244.6,259.19,60.212,0.23555
4.883,1230.3,242.67,257.31,60.212,0.23399
