 Time (s),Altitude (ft),Vertical velocity (ft/s),Total velocity (ft/s),Mass (lb),Mach number (?)
0,0,0,0,82.402,0.0063657
0.01,0,0,0,82.402,0.0063336
0.02,0.0010622,0.21245,0.21573,82.399,0.0063379
0.03,0.009104,1.3959,1.4175,82.386,0.006609
0.04,0.031488,3.0808,3.1284,82.365,0.0072676
0.05,0.070803,4.7823,4.8561,82.341,0.0081721
0.06,0.12687,6.4309,6.5301,82.317,0.0091895
0.07,0.19924,8.0442,8.1683,82.294,0.010296
0.08,0.28767,9.6421,9.7909,82.271,0.01147
0.09,0.39204,11.231,11.404,82.248,0.012691
0.1,0.51235,12.831,13.029,82.225,0.013964
0.11,0.64878,14.454,14.677,82.201,0.015349
0.12,0.80154,16.099,16.347,82.176,0.01677
0.13,0.97086,17.765,18.039,82.152,0.018224
0.14,1.157,19.453,19.753,82.128,0.019707
0.15,1.36,21.163,21.489,82.103,0.021218
0.16,1.5803,22.894,23.247,82.079,0.022757
0.17,1.818,24.647,25.027,82.054,0.024321
0.18,2.0734,26.421,26.829,82.03,0.02591
0.19,2.3466,28.218,28.653,82.005,0.027522
0.2,2.6378,30.035,30.499,81.981,0.029157
0.21,2.9473,31.862,32.354,81.956,0.030803
0.22,3.275,33.686,34.205,81.931,0.032449
0.235,3.8007,36.401,36.976,81.899,0.034929
0.2575,4.6654,40.459,41.117,81.851,0.038626
0.29125,6.133,46.511,47.293,81.779,0.044105
0.34125,8.6823,55.464,56.43,81.673,0.052236
0.39125,11.682,64.525,65.676,81.546,0.060469
0.44125,15.137,73.679,75.016,81.418,0.068706
0.49125,19.051,82.894,84.42,81.289,0.077012
0.54125,23.429,92.211,93.927,81.159,0.085581
0.59125,28.277,101.7,103.62,81.028,0.094219
0.64125,33.602,111.32,113.43,80.896,0.10304
0.69125,39.409,120.96,123.27,80.763,0.11185
0.74125,45.699,130.63,133.15,80.629,0.12065
0.79125,52.473,140.37,143.1,80.495,0.12961
0.84125,59.737,150.17,153.13,80.36,0.13856
0.89125,67.491,160.02,163.21,80.224,0.14758
0.94125,75.739,169.89,173.33,80.089,0.15664
0.99125,84.479,179.74,183.43,79.953,0.16562
1.0413,93.712,189.55,193.52,79.817,0.17457
1.0913,103.43,199.28,203.53,79.683,0.18353
1.1413,113.64,208.95,213.5,79.548,0.19246
1.1913,124.33,218.57,223.44,79.415,0.20145
1.2413,135.49,228.13,233.34,79.282,0.21043
1.2913,147.14,237.59,243.15,79.15,0.2193
1.3413,159.25,246.94,252.87,79.018,0.22796
1.3913,171.83,256.16,262.49,78.888,0.23662
1.4413,184.86,265.25,271.99,78.76,0.24516
1.4913,198.35,274.19,281.36,78.632,0.25363
1.5413,212.28,283.01,290.61,78.506,0.26196
1.5913,226.65,291.71,299.77,78.382,0.27021
1.6413,241.45,300.32,308.85,78.258,0.27845
1.6913,256.68,308.86,317.87,78.135,0.28654
1.7413,272.33,317.35,326.84,78.013,0.29461
1.7913,288.41,325.8,335.77,77.891,0.30264
1.8413,304.91,334.22,344.67,77.77,0.31068
1.8913,321.83,342.62,353.55,77.649,0.31862
1.9413,339.17,350.98,362.36,77.529,0.32656
1.9913,356.91,358.41,370.21,77.415,0.33362
2.0413,374.91,361.73,373.76,77.33,0.33673
2.0913,392.97,360.83,372.94,77.292,0.33602
2.1413,410.97,358.93,371.05,17.073,0.33442
2.1913,428.86,356.84,368.95,17.073,0.33262
2.2413,446.65,354.75,366.86,17.073,0.33072
2.2913,464.34,352.67,364.77,17.073,0.3288
2.3412,481.92,350.59,362.7,17.073,0.32699
2.3912,499.4,348.5,360.62,17.073,0.3252
2.4412,516.77,346.4,358.55,17.073,0.32341
2.4912,534.04,344.3,356.49,17.073,0.32166
2.5412,551.2,342.19,354.43,17.073,0.31988
2.5912,568.26,340.08,352.38,17.073,0.31801
2.6412,585.21,337.96,350.34,17.073,0.31616
2.6912,602.05,335.86,348.3,17.073,0.31434
2.7412,618.79,333.76,346.27,17.073,0.31254
2.7912,635.43,331.68,344.24,17.073,0.3107
2.8412,651.96,329.62,342.22,17.073,0.30894
2.8912,668.39,327.57,340.21,17.073,0.30725
2.9412,684.72,325.55,338.21,17.073,0.30548
2.9912,700.95,323.53,336.21,17.073,0.30372
3.0412,717.07,321.53,334.22,17.073,0.30198
3.0912,733.1,319.53,332.23,17.073,0.30028
3.1412,749.02,317.53,330.25,17.073,0.29836
3.1912,764.85,315.52,328.27,17.073,0.29644
3.2412,780.58,313.51,326.3,17.073,0.29484
3.2912,796.2,311.5,324.34,17.073,0.29317
3.3412,811.73,309.49,322.38,17.073,0.29149
3.3912,827.15,307.48,320.42,17.073,0.28977
3.4412,842.48,305.47,318.48,17.073,0.28802
3.4912,857.7,303.47,316.53,17.073,0.28632
3.5412,872.82,301.47,314.59,17.073,0.28473
3.5912,887.85,299.48,312.66,17.073,0.28304
3.6412,902.77,297.5,310.73,17.073,0.28121
3.6912,917.6,295.52,308.81,17.073,0.2795
3.7412,932.32,293.55,306.9,17.073,0.27787
3.7912,946.95,291.6,304.99,17.073,0.27629
3.8412,961.48,289.65,303.08,17.073,0.27452
3.8912,975.92,287.71,301.18,17.073,0.27281
3.9412,990.25,285.77,299.29,17.073,0.27114
3.9912,1004.5,283.84,297.4,17.073,0.26941
4.0412,1018.6,281.91,295.52,17.073,0.26759
4.0912,1032.7,279.98,293.64,17.073,0.2659
4.1412,1046.6,278.05,291.77,17.073,0.26431
4.1912,1060.5,276.13,289.9,17.073,0.26264
4.2412,1074.2,274.21,288.04,17.073,0.261
4.2912,1087.9,272.29,286.18,17.073,0.25931
4.3412,1101.5,270.37,284.33,17.073,0.25763
4.3912,1114.9,268.46,282.48,17.073,0.25601
4.4412,1128.3,266.55,280.63,17.073,0.25443
4.4912,1141.6,264.65,278.8,17.073,0.25275
4.5412,1154.8,262.75,276.96,17.073,0.25106
4.5912,1167.9,260.85,275.13,17.073,0.24948
4.6412,1180.9,258.96,273.31,17.073,0.24792
4.6912,1193.8,257.08,271.49,17.073,0.24636
4.7412,1206.6,255.2,269.68,17.073,0.2447
4.7912,1219.3,253.33,267.87,17.073,0.24307
4.8412,1231.9,251.46,266.07,17.073,0.2414
4.8912,1244.4,249.59,264.27,17.073,0.23981
4.9412,1256.9,247.73,262.47,17.073,0.23824
4.9912,1269.2,245.87,260.68,17.073,0.23666
5.0412,1281.5,244.02,258.9,17.073,0.23514
5.0912,1293.6,242.17,257.12,17.073,0.23347
5.1412,1305.7,240.32,255.34,17.073,0.23195
5.1437,1306.3,240.22,255.25,17.072,0.23187
5.1475,1307.2,240.11,255.15,17.071,0.23179
5.1531,1308.5,240.02,255.07,17.071,0.23173
5.1616,1310.6,240.02,255.1,17.07,0.23177
5.1742,1313.6,240.31,255.48,17.068,0.23212
5.1932,1318.2,241.44,256.76,17.065,0.23331
5.2217,1325.1,243.64,259.24,17.058,0.23555
5.2644,1335.6,246.94,262.97,17.046,0.23894
5.3144,1348,250.89,267.43,17.03,0.24305
5.3644,1360.6,254.9,271.98,17.013,0.24712
5.4144,1373.5,258.98,276.6,16.995,0.25134
5.4644,1386.5,263.15,281.32,16.977,0.25571
5.5144,1399.8,267.39,286.13,16.959,0.26016
5.5644,1413.3,271.7,291.03,16.941,0.26455
5.6144,1427,276.09,296.02,16.922,0.26894
5.6644,1440.9,280.55,301.11,16.903,0.27366
5.7144,1455,285.1,306.29,16.884,0.27825
5.7644,1469.4,289.71,311.56,16.864,0.28293
5.8144,1484,294.37,316.88,16.845,0.28773
5.8644,1498.8,299.07,322.25,16.825,0.29269
5.9144,1513.9,303.83,327.69,16.805,0.29771
5.9644,1529.2,308.63,333.16,16.785,0.30262
6.0144,1544.8,313.43,338.65,16.765,0.30748
6.0644,1560.6,318.23,344.14,16.744,0.31247
6.1144,1576.6,323,349.6,16.724,0.31738
6.1644,1592.9,327.6,354.87,16.704,0.32226
6.2144,1609.4,332.08,360.03,16.685,0.327
6.2644,1626.1,336.44,365.06,16.666,0.33163
6.3144,1643,340.69,369.98,16.647,0.33616
6.3644,1660.1,344.81,374.76,16.628,0.34051
6.4144,1677.5,348.77,379.38,16.61,0.34466
6.4644,1695,352.56,383.84,16.592,0.34867
6.5144,1712.7,356.15,388.1,16.575,0.35261
6.5644,1730.6,359.55,392.14,16.558,0.35633
6.6144,1748.7,362.73,395.95,16.542,0.35987
6.6644,1766.9,365.67,399.5,16.526,0.36302
6.7144,1785.2,368.01,402.39,16.512,0.36568
6.7644,1803.6,368.84,403.6,16.501,0.36675
6.8144,1822.1,367.92,402.89,16.495,0.36608
6.8644,1840.4,366.13,401.22,16.492,0.36452
6.9144,1858.7,364.11,399.29,16.491,0.36284
6.9644,1876.8,362.02,397.28,16.491,0.36092
7.0144,1894.9,359.88,395.23,16.491,0.35906
7.0644,1912.8,357.73,393.15,16.491,0.35729
7.1144,1930.6,355.58,391.08,16.49,0.35553
7.1644,1948.4,353.44,389.01,16.49,0.35388
7.2144,1966,351.3,386.95,16.49,0.35211
7.2644,1983.5,349.17,384.9,16.49,0.35029
7.3144,2000.9,347.04,382.86,16.49,0.34837
7.3644,2018.2,344.9,380.82,16.49,0.34649
7.4144,2035.4,342.76,378.79,16.49,0.34473
7.4644,2052.5,340.63,376.77,16.49,0.34287
7.5144,2069.5,338.51,374.75,16.49,0.34101
7.5644,2086.3,336.39,372.75,16.49,0.33928
7.6144,2103.1,334.29,370.75,16.49,0.33746
7.6644,2119.8,332.21,368.76,16.49,0.33583
7.7144,2136.3,330.13,366.77,16.49,0.33403
7.7644,2152.8,328.07,364.79,16.49,0.33216
7.8144,2169.1,326,362.82,16.49,0.33023
7.8644,2185.4,323.94,360.86,16.49,0.32844
7.9144,2201.5,321.88,358.91,16.49,0.32682
7.9644,2217.6,319.83,356.96,16.49,0.32512
8.0144,2233.5,317.78,355.02,16.49,0.32331
8.0644,2249.3,315.73,353.08,16.49,0.32143
8.1144,2265.1,313.68,351.15,16.49,0.31992
8.1644,2280.7,311.65,349.23,16.49,0.31828
8.2144,2296.2,309.61,347.32,16.49,0.31653
8.2644,2311.7,307.58,345.41,16.49,0.31463
8.3144,2327,305.55,343.51,16.49,0.31286
8.3644,2342.2,303.53,341.62,16.49,0.3112
8.4144,2357.4,301.51,339.73,16.49,0.30954
8.4644,2372.4,299.51,337.85,16.49,0.30794
8.5144,2387.3,297.51,335.97,16.49,0.30626
8.5644,2402.1,295.53,334.11,16.49,0.30475
8.6144,2416.9,293.56,332.25,16.49,0.30321
8.6644,2431.5,291.59,330.39,16.49,0.3017
8.7144,2446,289.62,328.54,16.49,0.30001
8.7644,2460.4,287.65,326.7,16.49,0.29828
8.8144,2474.8,285.68,324.87,16.49,0.29669
8.8644,2489,283.71,323.04,16.49,0.29503
8.9144,2503.2,281.74,321.22,16.49,0.29341
8.9644,2517.2,279.76,319.4,16.49,0.29178
9.0144,2531.1,277.8,317.59,16.49,0.29036
9.0644,2545,275.84,315.79,16.49,0.28894
9.1144,2558.7,273.89,313.99,16.49,0.28736
9.1644,2572.4,271.95,312.2,16.49,0.28559
9.2144,2585.9,270.01,310.41,16.49,0.28393
9.2644,2599.4,268.07,308.63,16.49,0.28225
9.3144,2612.7,266.14,306.86,16.49,0.28059
9.3644,2626,264.21,305.1,16.49,0.2788
9.4144,2639.1,262.28,303.34,16.49,0.27721
9.4644,2652.2,260.37,301.59,16.49,0.27554
9.5144,2665.2,258.46,299.84,16.49,0.27398
9.5644,2678,256.55,298.11,16.49,0.27219
9.6144,2690.8,254.65,296.37,16.49,0.27051
9.6644,2703.5,252.75,294.65,16.49,0.26903
9.7144,2716.1,250.87,292.93,16.49,0.26747
9.7644,2728.6,248.99,291.22,16.49,0.26603
9.8144,2741,247.11,289.51,16.49,0.26451
9.8644,2753.3,245.25,287.81,16.49,0.26317
9.9144,2765.5,243.38,286.12,16.49,0.26167
9.9644,2777.7,241.52,284.43,16.49,0.25999
10.014,2789.7,239.65,282.75,16.49,0.25844
10.064,2801.6,237.78,281.07,16.49,0.25698
10.114,2813.5,235.91,279.4,16.49,0.25563
10.164,2825.2,234.05,277.73,16.49,0.2543
10.214,2836.9,232.19,276.08,16.49,0.25295
10.264,2848.4,230.34,274.42,16.49,0.25174
10.314,2859.9,228.49,272.78,16.49,0.25019
10.364,2871.3,226.64,271.14,16.49,0.24879
10.414,2882.6,224.79,269.5,16.49,0.2473
10.464,2893.8,222.95,267.88,16.49,0.24592
10.514,2904.9,221.1,266.26,16.49,0.24462
10.564,2915.9,219.26,264.64,16.49,0.24296
10.614,2926.8,217.42,263.03,16.49,0.24165
10.664,2937.6,215.59,261.43,16.49,0.2401
10.714,2948.3,213.75,259.83,16.49,0.23867
10.764,2959,211.93,258.24,16.49,0.23726
10.814,2969.5,210.1,256.66,16.49,0.23559
10.864,2980,208.28,255.09,16.49,0.2341
10.914,2990.4,206.46,253.52,16.49,0.2327
10.964,3000.6,204.65,251.95,16.49,0.23139
11.014,3010.8,202.85,250.4,16.49,0.22999
11.064,3020.9,201.06,248.85,16.49,0.22865
11.114,3030.9,199.27,247.3,16.49,0.22724
11.164,3040.9,197.48,245.77,16.49,0.22595
11.214,3050.7,195.7,244.24,16.49,0.22454
11.264,3060.4,193.93,242.71,16.49,0.22338
11.314,3070.1,192.16,241.2,16.49,0.22214
11.364,3079.6,190.39,239.69,16.49,0.22106
11.414,3089.1,188.62,238.18,16.49,0.21971
11.464,3098.5,186.86,236.68,16.49,0.21857
11.514,3107.8,185.1,235.19,16.49,0.21745
11.564,3117,183.34,233.7,16.49,0.21627
11.614,3126.1,181.57,232.22,16.49,0.21493
11.664,3135.2,179.8,230.75,16.49,0.21352
11.714,3144.1,178.03,229.29,16.49,0.21202
