 Time (s),Altitude (ft),Vertical velocity (ft/s),Total velocity (ft/s),Mass (lb),Mach number (?)
2.1218,691.13,615.78,616.07,30.241,0.55324
2.1718,721.77,609.82,610.1,30.24,0.54794
2.2218,752.11,603.95,604.23,30.24,0.54271
2.2718,782.17,598.18,598.46,30.24,0.53758
2.3218,811.93,592.49,592.77,30.24,0.53254
2.3718,841.42,586.89,587.17,30.24,0.52756
2.4218,870.62,581.38,581.66,30.24,0.52266
2.4718,899.56,575.96,576.23,30.24,0.51784
2.5218,928.22,570.61,570.88,30.24,0.5131
2.5718,956.62,565.34,565.6,30.24,0.50841
2.6218,984.76,560.14,560.41,30.24,0.50379
2.6718,1012.6,555.03,555.29,30.24,0.49924
2.7218,1040.3,549.98,550.24,30.24,0.49474
2.7718,1067.6,545,545.26,30.24,0.4903
2.8218,1094.8,540.09,540.35,30.24,0.48592
2.8718,1121.6,535.25,535.51,30.24,0.48162
2.9218,1148.3,530.48,530.73,30.24,0.47737
2.9718,1174.7,525.77,526.01,30.24,0.47318
3.0218,1200.9,521.11,521.36,30.24,0.46904
3.0718,1226.8,516.52,516.77,30.24,0.46495
3.1218,1252.5,511.99,512.23,30.24,0.46092
3.1718,1278,507.51,507.75,30.24,0.45694
3.2218,1303.3,503.09,503.33,30.24,0.45301
3.2718,1328.3,498.73,498.97,30.24,0.44913
3.3218,1353.1,494.42,494.65,30.24,0.4453
3.3718,1377.8,490.15,490.39,30.24,0.4415
3.4218,1402.2,485.94,486.17,30.24,0.43775
3.4718,1426.4,481.78,482.01,30.24,0.43405
3.5218,1450.3,477.67,477.9,30.24,0.4304
3.5718,1474.1,473.6,473.83,30.24,0.42678
3.6218,1497.7,469.59,469.81,30.24,0.42321
3.6718,1521.1,465.61,465.83,30.24,0.41966
3.7218,1544.3,461.68,461.9,30.24,0.41614
3.7718,1567.2,457.79,458.01,30.24,0.41268
3.8218,1590,453.94,454.16,30.24,0.40925
3.8718,1612.6,450.14,450.36,30.24,0.40585
3.9218,1635.1,446.38,446.59,30.24,0.40251
3.9718,1657.3,442.66,442.87,30.24,0.3992
4.0218,1679.3,438.97,439.18,30.24,0.39591
4.0718,1701.2,435.32,435.53,30.24,0.39265
4.1218,1722.9,431.7,431.92,30.24,0.38942
4.1718,1744.3,428.13,428.34,30.24,0.38622
4.2218,1765.7,424.59,424.8,30.24,0.38305
4.2718,1786.8,421.09,421.29,30.24,0.37992
4.3218,1807.8,417.62,417.82,30.24,0.37681
4.3718,1828.6,414.18,414.39,30.24,0.37373
4.4218,1849.2,410.78,410.98,30.24,0.37067
4.4718,1869.7,407.4,407.6,30.24,0.36766
4.5218,1889.9,404.06,404.26,30.24,0.36468
