 Time (s),Altitude (ft),Vertical velocity (ft/s),Total velocity (ft/s),Mass (lb),Mach number (?)
2.1216,675.5,599.65,617.22,30.241,0.55515
2.1716,705.34,593.77,611.26,30.24,0.54982
2.2216,734.88,588.01,605.4,30.24,0.54459
2.2716,764.14,582.34,599.63,30.24,0.53949
2.3216,793.12,576.74,593.95,30.24,0.5345
2.3716,821.81,571.22,588.36,30.24,0.52961
2.4216,850.24,565.78,582.85,30.24,0.5247
2.4716,878.39,560.44,577.43,30.24,0.51987
2.5216,906.28,555.18,572.09,30.24,0.5152
2.5716,933.91,550,566.83,30.24,0.51061
2.6216,961.28,544.88,561.64,30.24,0.50608
2.6716,988.4,539.83,556.53,30.24,0.50157
2.7216,1015.3,534.84,551.49,30.24,0.49712
2.7716,1041.9,529.94,546.52,30.24,0.49271
2.8216,1068.3,525.11,541.61,30.24,0.48841
2.8716,1094.4,520.35,536.78,30.24,0.48422
2.9216,1120.3,515.64,532.01,30.24,0.48001
2.9716,1146,510.97,527.3,30.24,0.47579
3.0216,1171.4,506.37,522.65,30.24,0.47159
3.0716,1196.6,501.83,518.07,30.24,0.46746
3.1216,1221.6,497.38,513.54,30.24,0.46353
3.1678,1244.5,493.31,509.41,30.24,0.45988
3.2178,1269,488.95,505,30.24,0.4558
3.2678,1293.4,484.62,500.64,30.24,0.45181
3.3122,1314.8,480.83,496.82,30.24,0.44846
3.3622,1338.7,476.61,492.56,30.24,0.44465
3.4122,1362.4,472.46,488.35,30.24,0.44095
3.4622,1386,468.37,484.2,30.24,0.43736
3.5122,1409.3,464.31,480.09,30.24,0.43365
3.5622,1432.4,460.27,476.03,30.24,0.42999
3.6122,1455.3,456.28,472.01,30.24,0.4264
3.6622,1478,452.33,468.05,30.24,0.42285
3.7122,1500.5,448.45,464.12,30.24,0.41943
3.7622,1522.9,444.62,460.24,30.24,0.41596
3.8122,1545,440.84,456.41,30.24,0.41259
3.8622,1567,437.08,452.61,30.24,0.40931
3.9122,1588.7,433.34,448.86,30.24,0.40598
3.9622,1610.3,429.64,445.14,30.24,0.40265
4.0122,1631.7,425.98,441.46,30.24,0.39946
4.0622,1652.9,422.37,437.83,30.24,0.39618
4.1122,1673.9,418.81,434.23,30.24,0.39305
4.1622,1694.8,415.28,430.66,30.24,0.38985
