 Time (s),Altitude (ft),Vertical velocity (ft/s),Total velocity (ft/s),Mass (lb),Mach number (?)
2.1487,583.18,508.1,508.33,40.212,0.45633
2.1915,604.84,504.87,505.1,40.212,0.45347
2.2411,629.78,501.15,501.38,40.212,0.45018
2.2911,654.75,497.44,497.68,40.212,0.4469
2.3402,679.08,493.84,494.07,40.212,0.44371
2.3831,700.23,490.71,490.94,40.212,0.44094
2.4331,724.67,487.1,487.32,40.212,0.43775
2.4831,748.94,483.52,483.74,40.212,0.43457
2.5228,768.03,480.7,480.93,40.212,0.43207
2.5723,791.78,477.21,477.43,40.212,0.42896
2.6223,815.55,473.72,473.94,40.212,0.42586
2.6723,839.15,470.26,470.48,40.212,0.42278
2.7208,861.85,466.94,467.16,40.212,0.41982
2.7708,885.12,463.53,463.75,40.212,0.4168
2.8208,908.21,460.16,460.38,40.212,0.41382
2.8708,931.13,456.81,457.03,40.212,0.41085
2.9208,953.89,453.5,453.71,40.212,0.4079
2.9708,976.48,450.21,450.42,40.212,0.40498
3.0208,998.91,446.95,447.16,40.212,0.40208
3.0708,1021.2,443.71,443.92,40.212,0.39921
3.1208,1043.3,440.5,440.71,40.212,0.39636
3.1708,1065.2,437.32,437.53,40.212,0.39354
3.2208,1087,434.16,434.37,40.212,0.39074
3.2708,1108.6,431.02,431.23,40.212,0.38794
3.3208,1130.1,427.91,428.12,40.212,0.38518
3.3708,1151.4,424.82,425.03,40.212,0.38244
3.4208,1172.6,421.76,421.97,40.212,0.3797
3.4708,1193.6,418.72,418.93,40.212,0.37699
3.5208,1214.5,415.7,415.91,40.212,0.3743
3.5708,1235.2,412.7,412.91,40.212,0.37165
3.6208,1255.7,409.73,409.93,40.212,0.36902
3.6708,1276.2,406.78,406.98,40.212,0.36639
3.7208,1296.4,403.85,404.05,40.212,0.36378
3.7708,1316.5,400.93,401.14,40.212,0.36118
3.8208,1336.5,398.04,398.25,40.212,0.35862
3.8708,1356.3,395.18,395.38,40.212,0.35608
3.9208,1376,392.32,392.52,40.212,0.35353
3.9708,1395.6,389.49,389.69,40.212,0.35101
4.0208,1415,386.68,386.88,40.212,0.34851
4.0708,1434.2,383.89,384.09,40.212,0.34601
4.1208,1453.4,381.11,381.31,40.212,0.34352
4.1708,1472.4,378.36,378.55,40.212,0.34106
4.2208,1491.2,375.62,375.81,40.212,0.33862
4.2708,1509.9,372.9,373.09,40.212,0.33617
4.3208,1528.5,370.19,370.39,40.212,0.33374
4.3708,1546.9,367.51,367.7,40.212,0.33133
4.4208,1565.2,364.84,365.03,40.212,0.32895
4.4708,1583.4,362.19,362.38,40.212,0.32659
4.5208,1601.5,359.55,359.74,40.212,0.32424
4.5708,1619.4,356.93,357.12,40.212,0.32191
4.6208,1637.2,354.33,354.52,40.212,0.3196
4.6708,1654.8,351.74,351.93,40.212,0.31729
4.7208,1672.3,349.17,349.36,40.212,0.31498
4.7708,1689.7,346.61,346.8,40.212,0.31269
4.8208,1707,344.06,344.25,40.212,0.31042
4.8708,1724.1,341.53,341.72,40.212,0.30817
4.9208,1741.2,339.02,339.21,40.212,0.30592
4.9708,1758,336.52,336.71,40.212,0.30367
5.0208,1774.8,334.04,334.22,40.212,0.30144
5.0708,1791.4,331.56,331.75,40.212,0.29922
5.1208,1808,329.11,329.29,40.212,0.29701
5.1487,1817.1,327.74,327.93,40.212,0.29578
5.1907,1830.8,325.69,325.88,40.212,0.29396
5.2407,1847.1,323.27,323.45,40.212,0.29179
5.2907,1863.2,320.85,321.04,40.212,0.28965
5.3407,1879.1,318.45,318.64,40.212,0.28748
5.3907,1895,316.06,316.25,40.212,0.28536
5.4407,1910.8,313.69,313.88,40.212,0.28325
5.4907,1926.4,311.33,311.51,40.212,0.28113
5.5407,1941.9,308.97,309.16,40.212,0.27903
5.5907,1957.3,306.63,306.82,40.212,0.27693
5.6407,1972.6,304.31,304.49,40.212,0.27487
5.6907,1987.7,301.99,302.18,40.212,0.2728
5.7407,2002.8,299.69,299.87,40.212,0.27077
5.7907,2017.7,297.39,297.58,40.212,0.26874
5.8407,2032.5,295.11,295.3,40.212,0.26668
5.8907,2047.2,292.84,293.02,40.212,0.26467
5.9407,2061.8,290.58,290.76,40.212,0.26265
5.9907,2076.2,288.33,288.51,40.212,0.26065
6.0407,2090.6,286.09,286.27,40.212,0.25864
6.0907,2104.9,283.85,284.04,40.212,0.25662
6.1407,2119,281.63,281.82,40.212,0.25462
6.1907,2133,279.42,279.61,40.212,0.25263
6.2407,2146.9,277.22,277.41,40.212,0.25064
6.2907,2160.7,275.04,275.22,40.212,0.24869
6.3407,2174.4,272.86,273.04,40.212,0.24674
6.3907,2188,270.69,270.87,40.212,0.24477
6.4407,2201.5,268.53,268.71,40.212,0.24283
6.4907,2214.9,266.38,266.56,40.212,0.24087
6.5407,2228.1,264.23,264.42,40.212,0.23895
6.5907,2241.3,262.1,262.29,40.212,0.23703
6.6407,2254.4,259.97,260.16,40.212,0.23514
6.6907,2267.3,257.86,258.05,40.212,0.23325
6.7407,2280.1,255.75,255.94,40.212,0.23139
6.7907,2292.9,253.65,253.84,40.212,0.22951
6.8407,2305.5,251.56,251.75,40.212,0.22766
6.8907,2318,249.48,249.67,40.212,0.22576
6.9407,2330.5,247.41,247.59,40.212,0.2239
6.9907,2342.8,245.34,245.53,40.212,0.22204
7.0407,2355,243.28,243.47,40.212,0.22022
7.0907,2367.1,241.23,241.42,40.212,0.21839
7.1407,2379.1,239.19,239.38,40.212,0.21656
7.1907,2391,237.16,237.35,40.212,0.21477
7.2407,2402.8,235.13,235.32,40.212,0.21293
7.2907,2414.5,233.11,233.3,40.212,0.21113
7.3407,2426.1,231.1,231.29,40.212,0.20935
7.3907,2437.6,229.09,229.28,40.212,0.20756
7.4407,2449,227.09,227.28,40.212,0.2058
7.4907,2460.4,225.1,225.29,40.212,0.20401
7.5407,2471.6,223.12,223.31,40.212,0.20221
7.5907,2482.7,221.14,221.33,40.212,0.20046
7.6407,2493.7,219.17,219.36,40.212,0.19865
7.6907,2504.6,217.2,217.4,40.212,0.19685
7.7407,2515.4,215.24,215.44,40.212,0.19509
7.7907,2526.1,213.29,213.49,40.212,0.19332
7.8407,2536.7,211.35,211.55,40.212,0.19158
7.8907,2547.2,209.41,209.61,40.212,0.1898
7.9407,2557.7,207.48,207.68,40.212,0.18806
7.9907,2568,205.55,205.75,40.212,0.18634
8.0407,2578.2,203.64,203.84,40.212,0.18461
