 Time (s),Altitude (ft),Vertical velocity (ft/s),Total velocity (ft/s),Mass (lb),Mach number (?)
2.1413,420.33,369.46,369.68,60.213,0.3318
2.1871,437.22,367.31,367.53,60.212,0.32989
2.2366,455.34,364.99,365.21,60.212,0.32785
2.2866,473.53,362.66,362.88,60.212,0.32578
2.3366,491.61,360.34,360.56,60.212,0.32375
2.3866,509.57,358.03,358.25,60.212,0.32171
2.4366,527.41,355.72,355.94,60.212,0.31967
2.4866,545.14,353.43,353.65,60.212,0.31764
2.5366,562.76,351.15,351.37,60.212,0.3156
2.5866,580.26,348.87,349.1,60.212,0.31358
2.6366,597.64,346.61,346.83,60.212,0.31154
2.6866,614.92,344.36,344.58,60.212,0.30952
2.7366,632.08,342.12,342.34,60.212,0.30752
2.7866,649.13,339.88,340.1,60.212,0.30553
2.8366,666.07,337.65,337.87,60.212,0.30355
2.8866,682.89,335.43,335.65,60.212,0.30157
2.9366,699.61,333.22,333.44,60.212,0.29958
2.9866,716.22,331.02,331.24,60.212,0.29764
3.0366,732.71,328.83,329.05,60.212,0.29572
3.0866,749.1,326.64,326.87,60.212,0.29378
3.1366,765.38,324.47,324.69,60.212,0.29185
3.1866,781.55,322.3,322.52,60.212,0.28995
3.2366,797.61,320.14,320.36,60.212,0.28804
3.2866,813.56,317.99,318.21,60.212,0.28612
3.3366,829.41,315.84,316.06,60.212,0.2842
3.3866,845.14,313.7,313.93,60.212,0.28229
3.4366,860.78,311.57,311.8,60.212,0.28038
3.4866,876.3,309.45,309.67,60.212,0.2785
3.5366,891.72,307.33,307.56,60.212,0.27661
3.5866,907.04,305.23,305.45,60.212,0.27474
3.6366,922.24,303.13,303.35,60.212,0.27285
3.6866,937.35,301.04,301.26,60.212,0.27099
3.7366,952.35,298.95,299.18,60.212,0.26914
3.7866,967.24,296.87,297.1,60.212,0.2673
3.8366,982.04,294.8,295.03,60.212,0.26545
3.8866,996.72,292.74,292.96,60.212,0.26362
3.9366,1011.3,290.68,290.9,60.212,0.26178
3.9866,1025.8,288.63,288.85,60.212,0.25996
4.0366,1040.2,286.58,286.81,60.212,0.25812
4.0866,1054.4,284.54,284.77,60.212,0.2563
4.1366,1068.6,282.51,282.74,60.212,0.25447
4.1866,1082.7,280.48,280.71,60.212,0.25267
4.2366,1096.7,278.46,278.69,60.212,0.25085
4.2866,1110.5,276.45,276.68,60.212,0.24906
4.3366,1124.3,274.45,274.68,60.212,0.24728
4.3866,1138,272.45,272.68,60.212,0.24549
4.4366,1151.6,270.45,270.68,60.212,0.24369
4.4866,1165,268.46,268.69,60.212,0.24189
4.5366,1178.4,266.48,266.71,60.212,0.24009
4.5866,1191.7,264.5,264.73,60.212,0.23832
4.6366,1204.9,262.53,262.76,60.212,0.23656
4.6866,1217.9,260.56,260.8,60.212,0.23479
4.7366,1230.9,258.6,258.84,60.212,0.23304
4.7866,1243.8,256.65,256.89,60.212,0.23129
4.8366,1256.6,254.7,254.94,60.212,0.22954
4.8866,1269.3,252.76,253,60.212,0.22781
4.9366,1281.9,250.82,251.06,60.212,0.22609
4.9866,1294.3,248.89,249.13,60.212,0.22436
5.0366,1306.7,246.96,247.2,60.212,0.22265
5.0866,1319,245.04,245.28,60.212,0.22093
5.1366,1331.2,243.12,243.36,60.212,0.21924
5.1413,1332.4,242.94,243.19,60.212,0.21909
5.1482,1334.1,242.68,242.92,60.212,0.21885
5.1587,1336.6,242.28,242.52,60.212,0.2185
5.1744,1340.4,241.68,241.92,60.212,0.21797
5.1979,1346.1,240.78,241.02,60.212,0.21717
5.2333,1354.6,239.43,239.67,60.212,0.21596
5.2833,1366.5,237.53,237.77,60.212,0.21427
5.3333,1378.3,235.63,235.87,60.212,0.21258
5.3833,1390.1,233.73,233.98,60.212,0.21091
5.4333,1401.7,231.84,232.09,60.212,0.20922
5.4833,1413.2,229.96,230.21,60.212,0.20751
5.5333,1424.7,228.08,228.33,60.212,0.20585
5.5833,1436.1,226.2,226.46,60.212,0.20417
5.6333,1447.3,224.34,224.59,60.212,0.2025
5.6833,1458.5,222.47,222.73,60.212,0.20084
5.7333,1469.6,220.61,220.87,60.212,0.19916
5.7833,1480.5,218.76,219.01,60.212,0.1975
5.8333,1491.4,216.9,217.16,60.212,0.19587
5.8833,1502.2,215.06,215.31,60.212,0.19422
5.9333,1512.9,213.21,213.47,60.212,0.19258
5.9833,1523.6,211.37,211.63,60.212,0.19093
6.0333,1534.1,209.54,209.8,60.212,0.1893
6.0833,1544.5,207.71,207.97,60.212,0.18765
6.1333,1554.9,205.88,206.14,60.212,0.18605
6.1833,1565.1,204.05,204.32,60.212,0.18442
6.2333,1575.3,202.23,202.5,60.212,0.1828
6.2833,1585.3,200.42,200.69,60.212,0.18117
6.3333,1595.3,198.61,198.88,60.212,0.17955
6.3833,1605.2,196.8,197.07,60.212,0.17795
6.4333,1615,194.99,195.27,60.212,0.17636
6.4833,1624.7,193.19,193.47,60.212,0.1748
6.5333,1634.3,191.4,191.67,60.212,0.1732
6.5833,1643.8,189.61,189.88,60.212,0.17156
6.6333,1653.3,187.82,188.09,60.212,0.16994
6.6833,1662.6,186.03,186.31,60.212,0.16835
6.7333,1671.9,184.25,184.53,60.212,0.16673
6.7833,1681,182.47,182.75,60.212,0.16516
6.8333,1690.1,180.69,180.98,60.212,0.16359
6.8833,1699.1,178.92,179.21,60.212,0.16201
6.9333,1708,177.15,177.44,60.212,0.16043
6.9833,1716.8,175.38,175.67,60.212,0.15884
7.0333,1725.5,173.62,173.91,60.212,0.15723
7.0833,1734.2,171.86,172.16,60.212,0.15562
7.1333,1742.7,170.1,170.4,60.212,0.15407
7.1833,1751.2,168.35,168.65,60.212,0.15248
7.2333,1759.6,166.6,166.9,60.212,0.15091
7.2833,1767.8,164.85,165.16,60.212,0.14937
7.3333,1776,163.11,163.41,60.212,0.14781
7.3833,1784.2,161.36,161.67,60.212,0.14625
7.4333,1792.2,159.63,159.94,60.212,0.14468
7.4833,1800.1,157.89,158.21,60.212,0.14307
7.5333,1808,156.16,156.48,60.212,0.14148
7.5833,1815.7,154.43,154.75,60.212,0.13992
7.6333,1823.4,152.7,153.02,60.212,0.13838
7.6833,1831,150.98,151.3,60.212,0.13683
7.7333,1838.5,149.26,149.58,60.212,0.13534
7.7833,1845.9,147.54,147.87,60.212,0.13386
7.8333,1853.3,145.82,146.15,60.212,0.13232
7.8833,1860.5,144.11,144.44,60.212,0.13076
7.9333,1867.7,142.4,142.74,60.212,0.12923
7.9833,1874.8,140.69,141.03,60.212,0.12766
8.0333,1881.7,138.98,139.33,60.212,0.12616
8.0833,1888.7,137.28,137.63,60.212,0.12463
8.1333,1895.5,135.58,135.93,60.212,0.12314
8.1833,1902.2,133.88,134.23,60.212,0.12165
8.2333,1908.9,132.18,132.54,60.212,0.12018
8.2833,1915.4,130.48,130.85,60.212,0.11868
8.3333,1921.9,128.79,129.16,60.212,0.11713
8.3833,1928.3,127.1,127.47,60.212,0.11563
8.4333,1934.6,125.41,125.79,60.212,0.11413
8.4833,1940.8,123.73,124.1,60.212,0.1126
8.5333,1947,122.04,122.42,60.212,0.11113
8.5833,1953.1,120.36,120.75,60.212,0.10966
8.6333,1959,118.68,119.07,60.212,0.10814
8.6833,1964.9,117,117.4,60.212,0.10664
8.7333,1970.7,115.32,115.73,60.212,0.10516
8.7833,1976.5,113.65,114.06,60.212,0.10365
8.8333,1982.1,111.98,112.39,60.212,0.10214
8.8833,1987.7,110.31,110.73,60.212,0.10064
8.9333,1993.1,108.64,109.06,60.212,0.099106
8.9833,1998.5,106.97,107.4,60.212,0.09765
9.0333,2003.8,105.31,105.74,60.212,0.096192
9.0833,2009,103.65,104.09,60.212,0.094702
9.1333,2014.2,101.98,102.43,60.212,0.093211
9.1833,2019.2,100.33,100.78,60.212,0.091722
9.2333,2024.2,98.668,99.128,60.212,0.090248
9.2833,2029.1,97.012,97.479,60.212,0.088757
9.3333,2033.9,95.358,95.831,60.212,0.087243
9.3833,2038.6,93.705,94.186,60.212,0.085769
9.4333,2043.3,92.053,92.542,60.212,0.084231
9.4833,2047.9,90.403,90.9,60.212,0.082743
9.5333,2052.3,88.755,89.26,60.212,0.081337
9.5833,2056.7,87.108,87.622,60.212,0.07989
9.6333,2061,85.463,85.986,60.212,0.078436
9.6833,2065.3,83.819,84.351,60.212,0.076989
9.7333,2069.4,82.177,82.718,60.212,0.075536
9.7833,2073.5,80.536,81.087,60.212,0.074072
9.8333,2077.5,78.896,79.457,60.212,0.072554
9.8833,2081.4,77.258,77.83,60.212,0.071102
9.9333,2085.2,75.621,76.204,60.212,0.069628
9.9833,2088.9,73.985,74.58,60.212,0.068142
10.033,2092.6,72.35,72.957,60.212,0.066688
10.083,2096.2,70.716,71.336,60.212,0.065275
10.133,2099.7,69.084,69.718,60.212,0.063904
10.183,2103.1,67.453,68.1,60.212,0.062428
10.233,2106.4,65.823,66.485,60.212,0.060927
10.283,2109.7,64.194,64.872,60.212,0.059543
10.333,2112.8,62.566,63.26,60.212,0.058148
10.383,2115.9,60.939,61.65,60.212,0.056719
10.433,2118.9,59.313,60.042,60.212,0.055342
10.483,2121.9,57.689,58.436,60.212,0.053969
10.533,2124.7,56.065,56.832,60.212,0.052546
10.583,2127.5,54.443,55.231,60.212,0.051057
10.633,2130.1,52.821,53.631,60.212,0.0496
10.683,2132.7,51.2,52.034,60.212,0.04818
10.733,2135.3,49.579,50.439,60.212,0.046762
10.783,2137.7,47.96,48.846,60.212,0.045433
10.833,2140.1,46.342,47.256,60.212,0.044046
10.883,2142.3,44.724,45.669,60.212,0.042545
10.933,2144.5,43.107,44.085,60.212,0.041156
10.983,2146.6,41.49,42.504,60.212,0.039741
11.033,2148.7,39.875,40.927,60.212,0.038485
11.083,2150.6,38.26,39.353,60.212,0.037274
11.133,2152.5,36.647,37.784,60.212,0.035994
11.183,2154.3,35.033,36.218,60.212,0.034785
11.233,2156,33.421,34.658,60.212,0.03359
11.283,2157.6,31.81,33.103,60.212,0.032252
11.333,2159.2,30.199,31.554,60.212,0.030815
11.383,2160.7,28.588,30.013,60.212,0.029603
11.433,2162.1,26.979,28.479,60.212,0.028423
11.483,2163.4,25.37,26.955,60.212,0.027397
11.533,2164.6,23.762,25.442,60.212,0.026304
11.583,2165.7,22.155,23.942,60.212,0.025191
11.633,2166.8,20.549,22.457,60.212,0.023871
11.683,2167.8,18.943,20.99,60.212,0.022495
11.733,2168.7,17.337,19.546,60.212,0.021297
11.783,2169.5,15.732,18.13,60.212,0.020219
11.833,2170.3,14.128,16.748,60.212,0.01912
11.883,2170.9,12.524,15.411,60.212,0.018181
11.933,2171.5,10.921,14.129,60.212,0.017167
11.983,2172,9.319,12.919,60.212,0.016589
12.033,2172.5,7.7181,11.803,60.212,0.016309
