 Time (s),Altitude (ft),Vertical velocity (ft/s),Total velocity (ft/s),Mass (lb),Mach number (?)
2.1218,686.58,610.82,616.35,30.241,0.55428
2.1718,716.98,604.89,610.37,30.24,0.54897
2.2218,747.07,599.05,604.5,30.24,0.54375
2.2718,776.88,593.3,598.71,30.24,0.53861
2.3218,806.41,587.63,593.02,30.24,0.53357
2.3718,835.65,582.05,587.42,30.24,0.5286
2.4218,864.61,576.57,581.9,30.24,0.52369
2.4718,893.3,571.17,576.47,30.24,0.5188
2.5218,921.73,565.84,571.11,30.24,0.51401
2.5718,949.89,560.59,565.84,30.24,0.50934
2.6218,977.79,555.42,560.64,30.24,0.50478
2.6718,1005.4,550.32,555.52,30.24,0.50026
2.7218,1032.8,545.3,550.47,30.24,0.4958
2.7718,1060,540.34,545.49,30.24,0.49137
2.8218,1086.9,535.44,540.57,30.24,0.487
2.8718,1113.5,530.62,535.73,30.24,0.4827
2.9218,1139.9,525.86,530.95,30.24,0.47838
2.9718,1166.1,521.17,526.23,30.24,0.4742
3.0218,1192,516.54,521.58,30.24,0.47006
3.0718,1217.8,511.97,516.98,30.24,0.46596
3.1218,1243.2,507.45,512.45,30.24,0.46196
3.1718,1268.5,502.99,507.97,30.24,0.45798
3.2218,1293.5,498.58,503.55,30.24,0.454
3.2718,1318.4,494.23,499.18,30.24,0.4501
3.3218,1343,489.94,494.87,30.24,0.44626
3.3718,1367.4,485.7,490.61,30.24,0.44243
3.4218,1391.5,481.5,486.4,30.24,0.43865
3.4718,1415.5,477.35,482.24,30.24,0.43494
3.5218,1439.3,473.26,478.12,30.24,0.4313
3.5718,1462.8,469.21,474.06,30.24,0.42769
3.6218,1486.2,465.21,470.04,30.24,0.42409
3.6718,1509.3,461.25,466.07,30.24,0.42055
3.7218,1532.3,457.33,462.14,30.24,0.41708
3.7718,1555.1,453.46,458.25,30.24,0.41362
3.8218,1577.7,449.63,454.41,30.24,0.41018
3.8718,1600,445.84,450.61,30.24,0.40678
3.9218,1622.2,442.09,446.85,30.24,0.40343
3.9718,1644.3,438.38,443.13,30.24,0.4001
4.0218,1666.1,434.7,439.45,30.24,0.39678
4.0718,1687.7,431.07,435.8,30.24,0.39355
4.1218,1709.2,427.47,432.19,30.24,0.39033
4.1718,1730.5,423.91,428.62,30.24,0.38715
4.2218,1751.6,420.39,425.09,30.24,0.38399
4.2718,1772.5,416.89,421.59,30.24,0.38087
4.3218,1793.3,413.43,418.12,30.24,0.37777
