 Time (s),Altitude (ft),Vertical velocity (ft/s),Total velocity (ft/s),Mass (lb),Mach number (?)
0,0,0,0,82.402,0.0063882
0.01,0,0,0,82.402,0.0063682
0.02,0.0010542,0.21084,0.21084,82.399,0.006351
0.03,0.0091467,1.4077,1.4077,82.386,0.0064525
0.04,0.031753,3.1137,3.1137,82.365,0.0068969
0.05,0.071504,4.8366,4.8366,82.341,0.0076354
0.06,0.12822,6.5057,6.5057,82.317,0.0085453
0.07,0.20144,8.139,8.139,82.294,0.0095785
0.08,0.29092,9.7568,9.7568,82.271,0.010701
0.09,0.39652,11.365,11.365,82.248,0.011887
0.1,0.51828,12.986,12.986,82.225,0.013134
0.11,0.65635,14.629,14.629,82.201,0.014416
0.12,0.81096,16.294,16.294,82.176,0.01575
0.13,0.98233,17.981,17.981,82.152,0.017129
0.14,1.1707,19.69,19.69,82.128,0.018547
0.15,1.3762,21.421,21.421,82.103,0.020002
0.16,1.5992,23.174,23.174,82.079,0.0215
0.17,1.8398,24.949,24.949,82.054,0.023027
0.18,2.0983,26.746,26.746,82.03,0.024581
0.19,2.3749,28.565,28.565,82.005,0.026162
0.2,2.6697,30.407,30.407,81.981,0.027767
0.21,2.983,32.257,32.257,81.956,0.02939
0.22,3.3149,34.104,34.104,81.931,0.031014
0.235,3.8471,36.867,36.867,81.899,0.033448
0.2575,4.7231,40.997,40.997,81.851,0.037099
0.29125,6.2107,47.156,47.156,81.779,0.04257
0.34125,8.7962,56.267,56.267,81.673,0.050695
0.39125,11.84,65.488,65.488,81.546,0.058903
0.44125,15.347,74.802,74.802,81.418,0.067248
0.49125,19.322,84.18,84.18,81.289,0.075631
0.54125,23.768,93.662,93.662,81.159,0.084092
0.59125,28.692,103.32,103.32,81.028,0.092716
0.64125,34.103,113.11,113.11,80.896,0.10149
0.69125,40.004,122.93,122.93,80.763,0.11026
0.74125,46.397,132.78,132.78,80.629,0.11909
0.79125,53.284,142.71,142.71,80.495,0.12798
0.84125,60.669,152.7,152.7,80.36,0.13693
0.89125,68.556,162.76,162.76,80.224,0.14592
0.94125,76.946,172.84,172.84,80.089,0.15496
0.99125,85.84,182.92,182.92,79.953,0.16398
1.0413,95.237,192.97,192.97,79.817,0.17298
1.0913,105.13,202.95,202.95,79.683,0.18193
1.1413,115.53,212.88,212.89,79.548,0.19085
1.1913,126.42,222.78,222.79,79.415,0.19974
1.2413,137.81,232.64,232.65,79.282,0.20858
1.2913,149.68,242.41,242.43,79.15,0.21736
1.3413,162.05,252.09,252.11,79.018,0.22606
1.3913,174.89,261.66,261.69,78.888,0.23464
1.4413,188.21,271.11,271.15,78.76,0.24313
1.4913,202,280.43,280.49,78.632,0.25151
1.5413,216.25,289.63,289.7,78.506,0.25979
1.5913,230.96,298.74,298.83,78.382,0.268
1.6413,246.12,307.77,307.87,78.258,0.27612
1.6913,261.73,316.73,316.85,78.135,0.2842
1.7413,277.79,325.65,325.79,78.013,0.29223
1.7913,294.3,334.53,334.68,77.891,0.30023
1.8413,311.25,343.38,343.55,77.77,0.3082
1.8913,328.64,352.21,352.39,77.649,0.31617
1.9413,346.46,360.97,361.17,77.529,0.32407
1.9913,364.71,368.77,368.97,77.415,0.3311
2.0413,383.23,372.27,372.48,77.33,0.33426
2.0913,401.83,371.41,371.61,77.292,0.33351
2.1413,420.35,369.48,369.69,17.073,0.3318
2.1913,438.77,367.35,367.54,17.073,0.3299
2.2413,457.08,365.21,365.41,17.073,0.328
2.2913,475.29,363.09,363.28,17.073,0.32611
2.3412,493.39,360.97,361.16,17.073,0.32425
2.3912,511.39,358.85,359.04,17.073,0.32236
2.4412,529.28,356.73,356.93,17.073,0.32049
2.4912,547.06,354.62,354.82,17.073,0.31864
2.5412,564.74,352.52,352.72,17.073,0.31679
2.5912,582.31,350.42,350.62,17.073,0.31491
2.6412,599.78,348.32,348.53,17.073,0.31305
2.6912,617.15,346.23,346.44,17.073,0.31121
2.7412,634.4,344.15,344.37,17.073,0.30935
2.7912,651.56,342.08,342.3,17.073,0.3075
2.8412,668.61,340.02,340.23,17.073,0.30569
2.8912,685.56,337.96,338.17,17.073,0.30384
2.9412,702.41,335.91,336.12,17.073,0.30203
2.9912,719.15,333.87,334.08,17.073,0.30022
3.0412,735.8,331.83,332.03,17.073,0.29841
3.0912,752.34,329.8,330,17.073,0.29661
3.1412,768.78,327.77,327.97,17.073,0.29479
3.1912,785.11,325.75,325.94,17.073,0.29296
3.2412,801.35,323.72,323.92,17.073,0.29118
3.2912,817.49,321.71,321.9,17.073,0.28939
3.3412,833.52,319.69,319.89,17.073,0.28759
3.3912,849.46,317.68,317.88,17.073,0.28579
3.4412,865.29,315.67,315.88,17.073,0.28404
3.4912,881.02,313.67,313.88,17.073,0.28226
3.5412,896.66,311.68,311.89,17.073,0.28047
3.5912,912.19,309.69,309.91,17.073,0.27871
3.6412,927.63,307.71,307.92,17.073,0.27692
3.6912,942.96,305.73,305.95,17.073,0.27517
