 Time (s),Altitude (ft),Vertical velocity (ft/s),Total velocity (ft/s),Mass (lb),Mach number (?)
0,0,0,0,62.402,0.0075597
0.01,0,0,0,62.402,0.0075511
0.02,0.0019064,0.38129,0.38275,62.399,0.0075801
0.03,0.014111,2.0598,2.0676,62.386,0.0079133
0.04,0.046451,4.4083,4.4251,62.365,0.0088052
0.05,0.10239,6.7791,6.805,62.341,0.010081
0.06,0.18168,9.0795,9.1142,62.317,0.011506
0.07,0.28374,11.333,11.376,62.294,0.013067
0.08,0.40824,13.566,13.618,62.271,0.014724
0.09,0.555,15.787,15.847,62.248,0.016448
0.1,0.72406,18.024,18.093,62.225,0.01824
0.11,0.91563,20.292,20.369,62.201,0.020141
0.12,1.13,22.588,22.674,62.176,0.022093
0.13,1.3675,24.913,25.009,62.152,0.024088
0.14,1.6284,27.268,27.372,62.128,0.026124
0.15,1.913,29.652,29.765,62.103,0.028197
0.16,2.2216,32.065,32.187,62.079,0.030271
0.17,2.5545,34.507,34.639,62.054,0.032383
0.17947,2.8924,36.847,36.988,62.031,0.034416
0.18834,3.2291,39.063,39.212,62.008,0.036347
0.19671,3.5647,41.173,41.331,61.987,0.038193
0.20926,4.1015,44.361,44.533,61.961,0.041024
0.22808,4.9815,49.132,49.325,61.921,0.045286
0.25632,6.4695,56.258,56.483,61.861,0.051645
0.29868,9.0774,66.877,67.15,61.771,0.061057
0.34868,12.735,79.424,79.753,61.654,0.072285
0.39868,17.023,92.121,92.507,61.527,0.083784
0.44868,21.95,104.94,105.38,61.399,0.095293
0.49868,27.519,117.84,118.34,61.27,0.10685
0.54868,33.738,130.9,131.46,61.14,0.11855
0.59868,40.615,144.2,144.83,61.009,0.13054
0.64868,48.161,157.64,158.34,60.876,0.14268
0.69868,56.38,171.11,171.88,60.743,0.15483
0.74868,65.273,184.63,185.48,60.609,0.16698
0.79868,74.845,198.25,199.18,60.475,0.17922
0.84868,85.1,211.94,212.97,60.34,0.19168
0.89868,96.041,225.7,226.83,60.204,0.20413
0.94868,107.67,239.47,240.72,60.068,0.21661
0.99868,119.99,253.22,254.6,59.933,0.22911
1.0487,132.99,266.9,268.42,59.797,0.24147
1.0987,146.67,280.47,282.15,59.663,0.2538
1.1487,161.03,293.95,295.81,59.528,0.26606
1.1987,176.07,307.37,309.43,59.395,0.27829
1.2487,191.77,320.7,322.96,59.262,0.2904
1.2987,208.13,333.89,336.38,59.13,0.30242
1.3487,225.16,346.94,349.66,58.999,0.31438
1.3987,242.82,359.83,362.8,58.869,0.32615
1.4487,261.13,372.57,375.77,58.741,0.33789
1.4987,280.08,385.13,388.56,58.613,0.34936
1.5487,299.64,397.55,401.2,58.488,0.36071
1.5987,319.83,409.85,413.71,58.363,0.37199
1.6487,340.63,422.06,426.11,58.24,0.38316
1.6987,362.03,434.21,438.41,58.117,0.39427
1.7487,384.05,446.29,450.64,57.995,0.40528
1.7987,406.66,458.32,462.8,57.873,0.41627
1.8487,429.88,470.29,474.9,57.752,0.4272
1.8987,453.69,482.21,486.95,57.631,0.43807
1.9487,478.09,494,498.88,57.511,0.44876
1.9987,503.04,503.88,508.9,57.399,0.45776
2.0487,528.33,507.53,512.64,57.321,0.46114
2.0987,553.67,505.99,511.13,57.29,0.45983
2.1487,578.9,503.39,508.56,17.073,0.45751
2.1987,604,500.73,505.95,17.073,0.4552
2.2487,628.97,498.09,503.34,17.073,0.45298
2.2987,653.81,495.49,500.76,17.073,0.45074
2.3487,678.52,492.92,498.19,17.073,0.4485
2.3987,703.1,490.38,495.63,17.073,0.44624
2.4487,727.56,487.86,493.08,17.073,0.44391
2.4987,751.89,485.34,490.54,17.073,0.44162
2.5487,776.09,482.82,488.01,17.073,0.43942
2.5987,800.17,480.3,485.49,17.073,0.43723
2.6487,824.12,477.78,482.98,17.073,0.43494
2.6987,847.95,475.25,480.48,17.073,0.43272
2.7487,871.65,472.73,477.98,17.073,0.43051
2.7987,895.22,470.23,475.5,17.073,0.42836
2.8487,918.67,467.74,473.03,17.073,0.42616
2.8987,942,465.27,470.57,17.073,0.42395
2.9487,965.2,462.83,468.12,17.073,0.42174
2.9987,988.28,460.39,465.69,17.073,0.4195
3.0487,1011.2,457.97,463.26,17.073,0.41737
3.0987,1034.1,455.56,460.84,17.073,0.41527
3.1487,1056.8,453.16,458.43,17.073,0.41311
3.1987,1079.4,450.76,456.03,17.073,0.411
3.2487,1101.9,448.36,453.64,17.073,0.40891
3.2987,1124.2,445.97,451.25,17.073,0.40683
3.3487,1146.5,443.57,448.88,17.073,0.40469
3.3987,1168.6,441.18,446.51,17.073,0.40253
3.4487,1190.6,438.8,444.15,17.073,0.4004
3.4987,1212.5,436.43,441.8,17.073,0.39828
3.5487,1234.2,434.08,439.46,17.073,0.39623
3.5987,1255.9,431.74,437.13,17.073,0.3943
3.6487,1277.4,429.43,434.81,17.073,0.39211
3.6987,1298.8,427.12,432.5,17.073,0.39014
3.7487,1320.1,424.82,430.19,17.073,0.38804
3.7987,1341.3,422.53,427.9,17.073,0.3861
3.8487,1362.4,420.24,425.61,17.073,0.38403
3.8987,1383.3,417.95,423.33,17.073,0.38204
3.9487,1404.2,415.66,421.05,17.073,0.3801
3.9987,1424.9,413.38,418.79,17.073,0.37802
4.0487,1445.5,411.09,416.53,17.073,0.37608
4.0987,1466,408.82,414.27,17.073,0.37407
4.1487,1486.4,406.56,412.03,17.073,0.37213
4.1987,1506.7,404.31,409.79,17.073,0.37022
4.2487,1526.8,402.07,407.57,17.073,0.36832
4.2987,1546.9,399.85,405.35,17.073,0.36636
4.3487,1566.8,397.63,403.13,17.073,0.3644
4.3987,1586.6,395.43,400.93,17.073,0.36246
4.4487,1606.3,393.22,398.73,17.073,0.36053
4.4987,1625.9,391.03,396.54,17.073,0.35857
4.5487,1645.4,388.83,394.35,17.073,0.35665
4.5987,1664.8,386.64,392.18,17.073,0.35475
4.6487,1684.1,384.45,390,17.073,0.35287
4.6987,1703.3,382.27,387.84,17.073,0.35086
4.7487,1722.3,380.09,385.68,17.073,0.34889
4.7987,1741.3,377.91,383.53,17.073,0.34702
4.8487,1760.1,375.74,381.38,17.073,0.34504
4.8987,1778.9,373.59,379.24,17.073,0.34314
4.9487,1797.5,371.44,377.11,17.073,0.34115
4.9987,1816,369.3,374.99,17.073,0.33929
5.0487,1834.4,367.18,372.87,17.073,0.33743
5.0987,1852.7,365.06,370.76,17.073,0.33553
5.1487,1870.9,362.96,368.66,17.073,0.33358
5.1512,1871.8,362.85,368.55,17.072,0.33349
5.1549,1873.2,362.72,368.43,17.071,0.33338
5.1606,1875.2,362.61,368.31,17.071,0.33329
5.169,1878.3,362.58,368.29,17.07,0.33328
5.1816,1882.9,362.85,368.58,17.068,0.33357
5.2006,1889.8,363.97,369.74,17.065,0.33465
5.2291,1900.2,366.2,372.03,17.058,0.33674
5.2718,1915.9,369.54,375.48,17.046,0.3399
5.3218,1934.5,373.54,379.61,17.03,0.34367
5.3718,1953.2,377.61,383.81,17.013,0.34739
5.4218,1972.2,381.73,388.09,16.995,0.35122
5.4718,1991.4,385.94,392.46,16.977,0.35519
5.5218,2010.8,390.24,396.92,16.959,0.35919
5.5718,2030.4,394.61,401.46,16.941,0.36327
5.6218,2050.3,399.07,406.09,16.922,0.36752
5.6718,2070.4,403.63,410.82,16.903,0.3719
5.7218,2090.7,408.3,415.63,16.884,0.37628
5.7718,2111.2,413.05,420.53,16.864,0.3807
5.8218,2132,417.85,425.48,16.845,0.38521
5.8718,2153,422.69,430.47,16.825,0.38978
5.9218,2174.2,427.59,435.52,16.805,0.39445
5.9718,2195.7,432.51,440.61,16.785,0.39913
6.0218,2217.5,437.44,445.71,16.765,0.40376
6.0718,2239.5,442.33,450.79,16.744,0.40829
6.1218,2261.7,447.18,455.84,16.724,0.41284
6.1718,2284.2,451.85,460.71,16.704,0.41731
6.2218,2306.9,456.4,465.45,16.685,0.42164
