 Time (s),Altitude (ft),Vertical velocity (ft/s),Total velocity (ft/s),Mass (lb),Mach number (?)
2.1487,579.06,503.64,508.62,40.212,0.4572
2.168,588.77,502.17,507.16,40.212,0.45592
2.1886,599.1,500.62,505.6,40.212,0.45456
2.2159,612.76,498.56,503.55,40.212,0.45275
2.2569,633.14,495.52,500.5,40.212,0.45006
2.2994,654.11,492.4,497.36,40.212,0.4473
2.3227,665.57,490.7,495.64,40.212,0.44576
2.3477,677.82,488.88,493.82,40.212,0.44412
2.3842,695.61,486.24,491.16,40.212,0.44178
2.4342,719.83,482.64,487.55,40.212,0.4386
2.4718,737.94,479.94,484.86,40.212,0.43618
2.4995,751.17,477.97,482.89,40.212,0.4344
2.5293,765.4,475.85,480.78,40.212,0.43249
2.5741,786.63,472.71,477.64,40.212,0.42968
2.6241,810.18,469.24,474.15,40.212,0.42661
2.6522,823.36,467.31,472.2,40.212,0.4249
2.6786,835.67,465.5,470.39,40.212,0.42333
2.7098,850.15,463.37,468.25,40.212,0.42146
2.7566,871.76,460.19,465.06,40.212,0.4186
2.8066,894.68,456.81,461.69,40.212,0.41553
2.8313,905.98,455.14,460.02,40.212,0.41408
2.8599,918.96,453.22,458.11,40.212,0.41242
2.9028,938.33,450.38,455.27,40.212,0.40992
2.9528,960.77,447.1,451.97,40.212,0.40695
2.9921,978.27,444.55,449.41,40.212,0.40464
3.0287,994.53,442.18,447.03,40.212,0.4025
3.0787,1016.6,438.96,443.8,40.212,0.39964
3.1287,1038.4,435.76,440.6,40.212,0.39683
3.1787,1060.1,432.58,437.43,40.212,0.39404
3.2287,1081.7,429.43,434.28,40.212,0.39128
3.2787,1103.1,426.3,431.15,40.212,0.38853
3.3287,1124.3,423.21,428.05,40.212,0.38581
3.3787,1145.4,420.15,424.98,40.212,0.38309
3.4287,1166.3,417.1,421.92,40.212,0.38037
3.4787,1187.1,414.07,418.89,40.212,0.37774
3.5287,1207.7,411.06,415.88,40.212,0.37514
3.5787,1228.2,408.07,412.9,40.212,0.37252
3.6287,1248.5,405.1,409.93,40.212,0.36992
3.6787,1268.7,402.16,406.99,40.212,0.36729
3.7287,1288.8,399.24,404.07,40.212,0.36468
3.7787,1308.6,396.35,401.17,40.212,0.36211
3.8287,1328.4,393.47,398.29,40.212,0.35954
3.8787,1348,390.61,395.43,40.212,0.35695
3.9287,1367.5,387.77,392.59,40.212,0.3544
3.9787,1386.8,384.94,389.77,40.212,0.35185
4.0287,1405.9,382.14,386.96,40.212,0.34932
4.0787,1425,379.35,384.18,40.212,0.34687
4.1287,1443.9,376.59,381.42,40.212,0.34445
4.1787,1462.6,373.85,378.68,40.212,0.34201
4.2287,1481.3,371.13,375.95,40.212,0.33958
4.2787,1499.8,368.42,373.24,40.212,0.33716
4.3287,1518.1,365.72,370.55,40.212,0.33474
4.3787,1536.3,363.03,367.87,40.212,0.33235
4.4287,1554.4,360.37,365.22,40.212,0.32995
4.4787,1572.4,357.72,362.58,40.212,0.32758
4.5287,1590.2,355.1,359.95,40.212,0.32523
4.5787,1607.9,352.49,357.35,40.212,0.3229
4.6287,1625.4,349.9,354.76,40.212,0.32062
4.6787,1642.9,347.33,352.18,40.212,0.31833
4.7287,1660.2,344.76,349.62,40.212,0.31601
4.7787,1677.3,342.21,347.08,40.212,0.31375
4.8287,1694.4,339.67,344.55,40.212,0.31152
4.8787,1711.3,337.14,342.03,40.212,0.30933
4.9287,1728.1,334.63,339.53,40.212,0.30717
4.9787,1744.8,332.15,337.04,40.212,0.30498
5.0287,1761.3,329.67,334.57,40.212,0.30273
5.0787,1777.7,327.21,332.11,40.212,0.30047
5.1287,1794,324.75,329.67,40.212,0.29825
5.1487,1800.5,323.78,328.7,40.212,0.29738
5.1786,1810.2,322.32,327.25,40.212,0.29605
5.2235,1824.6,320.14,325.07,40.212,0.29407
5.2735,1840.5,317.72,322.67,40.212,0.2919
5.3235,1856.4,315.32,320.28,40.212,0.28977
5.3735,1872.1,312.94,317.9,40.212,0.28766
