 Time (s),Altitude (ft),Vertical velocity (ft/s),Total velocity (ft/s),Mass (lb),Mach number (?)
0,0,0,0,62.402,0.0073138
0.01,0,0,0,62.402,0.0074152
0.02,0.0019076,0.38152,0.38152,62.399,0.0075244
0.03,0.014141,2.0652,2.0652,62.386,0.0078392
0.04,0.046573,4.4214,4.4214,62.365,0.0086755
0.05,0.10268,6.8002,6.8002,62.341,0.0099118
0.06,0.18222,9.1081,9.1081,62.317,0.011239
0.07,0.28461,11.369,11.369,62.294,0.012732
0.08,0.4095,13.61,13.61,62.271,0.01434
0.09,0.55673,15.837,15.837,62.248,0.016029
0.1,0.72633,18.082,18.082,62.225,0.017795
0.11,0.91852,20.357,20.357,62.201,0.019679
0.12,1.1336,22.661,22.661,62.176,0.021616
0.13,1.3719,24.994,24.994,62.152,0.023599
0.14,1.6336,27.357,27.357,62.128,0.025624
0.15,1.9192,29.748,29.748,62.103,0.027687
0.16,2.2288,32.169,32.169,62.079,0.02977
0.17,2.5627,34.62,34.62,62.054,0.031889
0.17948,2.9019,36.969,36.969,62.031,0.03393
0.18835,3.2399,39.193,39.193,62.008,0.035868
0.19672,3.5768,41.312,41.312,61.987,0.037721
0.20928,4.1157,44.514,44.514,61.961,0.040528
0.22811,4.9992,49.307,49.307,61.921,0.044746
0.25637,6.4933,56.464,56.464,61.861,0.051072
0.29874,9.1122,67.131,67.131,61.771,0.060549
0.34874,12.784,79.728,79.728,61.654,0.071717
0.39874,17.089,92.477,92.477,61.527,0.083109
0.44874,22.034,105.35,105.35,61.399,0.094635
0.49874,27.625,118.3,118.3,61.27,0.10619
0.54874,33.868,131.42,131.42,61.14,0.11795
0.59874,40.773,144.78,144.78,61.008,0.12985
0.64874,48.349,158.28,158.28,60.876,0.14195
0.69874,56.601,171.81,171.81,60.743,0.15406
0.74874,65.532,185.41,185.41,60.609,0.16622
0.79874,75.144,199.1,199.1,60.474,0.17848
0.84874,85.444,212.88,212.88,60.339,0.19084
0.89874,96.434,226.73,226.74,60.204,0.20327
0.94874,108.12,240.61,240.62,60.068,0.2157
0.99874,120.5,254.48,254.48,59.932,0.22814
1.0487,133.56,268.28,268.3,59.797,0.24053
1.0987,147.32,282,282.02,59.662,0.25285
1.1487,161.76,295.64,295.67,59.528,0.2651
1.1987,176.88,309.23,309.28,59.395,0.27732
1.2487,192.68,322.74,322.81,59.262,0.28948
1.2987,209.15,336.13,336.22,59.13,0.30153
1.3487,226.29,349.39,349.5,58.999,0.31347
1.3987,244.09,362.5,362.64,58.869,0.32527
1.4487,262.54,375.45,375.61,58.74,0.33692
1.4987,281.63,388.22,388.4,58.613,0.34843
1.5487,301.36,400.83,401.04,58.487,0.35978
1.5987,321.71,413.32,413.54,58.363,0.371
1.6487,342.69,425.69,425.93,58.239,0.38214
1.6987,364.28,437.98,438.22,58.117,0.39319
1.7487,386.48,450.19,450.44,57.995,0.40418
1.7987,409.29,462.33,462.59,57.873,0.41509
1.8487,432.71,474.42,474.68,57.752,0.42597
1.8987,456.73,486.45,486.72,57.631,0.4368
1.9487,481.36,498.36,498.65,57.51,0.44753
1.9987,506.52,508.35,508.65,57.399,0.45655
2.0487,532.03,512.07,512.37,57.32,0.45993
2.0987,557.6,510.55,510.85,57.29,0.45862
2.1487,583.06,507.97,508.28,17.073,0.45634
2.1987,608.4,505.35,505.66,17.073,0.45404
2.2487,633.6,502.73,503.05,17.073,0.45176
2.2987,658.67,500.14,500.46,17.073,0.44947
2.3487,683.61,497.56,497.88,17.073,0.44721
2.3987,708.42,494.99,495.3,17.073,0.44494
2.4487,733.11,492.43,492.74,17.073,0.44269
2.4987,757.67,489.89,490.19,17.073,0.44042
2.5487,782.1,487.35,487.66,17.073,0.43818
2.5987,806.4,484.82,485.13,17.073,0.43594
2.6487,830.58,482.3,482.61,17.073,0.43369
2.6987,854.63,479.78,480.09,17.073,0.43148
2.7487,878.56,477.28,477.59,17.073,0.42926
2.7987,902.36,474.79,475.1,17.073,0.42708
2.8487,926.04,472.31,472.62,17.073,0.42486
2.8987,949.59,469.84,470.15,17.073,0.4227
2.9487,973.02,467.38,467.69,17.073,0.42053
2.9987,996.33,464.93,465.24,17.073,0.41838
3.0487,1019.5,462.5,462.8,17.073,0.4162
3.0987,1042.6,460.07,460.37,17.073,0.41404
3.1487,1065.5,457.65,457.95,17.073,0.4119
3.1987,1088.3,455.23,455.54,17.073,0.40978
3.2487,1111,452.83,453.13,17.073,0.40765
3.2987,1133.6,450.43,450.74,17.073,0.4055
3.3487,1156.1,448.04,448.35,17.073,0.40337
3.3987,1178.4,445.65,445.97,17.073,0.40127
3.4487,1200.7,443.28,443.6,17.073,0.39915
3.4987,1222.8,440.92,441.24,17.073,0.39706
3.5487,1244.7,438.57,438.89,17.073,0.39497
3.5987,1266.6,436.23,436.55,17.073,0.39291
