 Time (s),Altitude (ft),Vertical velocity (ft/s),Total velocity (ft/s),Mass (lb),Mach number (?)
0,0,0,0,52.429,0.0063565
0.01,0,0,0,52.429,0.0064202
0.02,0.0025727,0.51454,0.51651,52.426,0.0065405
0.03,0.01801,2.5731,2.5829,52.414,0.0071318
0.04,0.058021,5.4293,5.4501,52.393,0.008553
0.05,0.12673,8.3124,8.3442,52.369,0.010444
0.06,0.22385,11.112,11.154,52.345,0.012526
0.07,0.34868,13.855,13.908,52.321,0.014701
0.08,0.50084,16.575,16.639,52.298,0.016938
0.09,0.68011,19.28,19.354,52.275,0.019215
0.1,0.88654,22.005,22.09,52.252,0.021545
0.11,1.1204,24.766,24.861,52.228,0.023926
0.12,1.382,27.562,27.667,52.204,0.026356
0.13,1.6718,30.393,30.509,52.18,0.028832
0.14,1.9901,33.258,33.385,52.155,0.03135
0.14983,2.3309,36.108,36.246,52.131,0.033864
0.15888,2.6698,38.764,38.912,52.108,0.0362
0.16731,3.0071,41.263,41.42,52.086,0.038404
0.17523,3.3434,43.633,43.8,52.066,0.040499
0.18711,3.8831,47.226,47.409,52.042,0.043687
0.20493,4.7736,52.704,52.91,52.006,0.048563
0.23167,6.2926,60.943,61.184,51.95,0.055937
0.27177,8.9827,73.229,73.522,51.865,0.066898
0.32177,13.025,88.451,88.809,51.75,0.080475
0.37177,17.831,103.8,104.23,51.623,0.094258
0.42177,23.409,119.33,119.82,51.495,0.10824
0.47177,29.766,134.97,135.53,51.367,0.12228
0.52177,36.909,150.73,151.36,51.237,0.1364
0.57177,44.846,166.75,167.46,51.107,0.15074
0.62177,53.59,183.03,183.82,50.975,0.16542
0.67177,63.15,199.37,200.26,50.842,0.18019
0.72177,73.528,215.75,216.74,50.708,0.19497
0.77177,84.727,232.22,233.32,50.574,0.20985
0.82177,96.753,248.8,250.02,50.44,0.22484
0.87177,109.61,265.44,266.81,50.305,0.2399
0.92177,123.3,282.14,283.66,50.169,0.25499
0.97177,137.82,298.8,300.51,50.033,0.27007
1.0218,153.18,315.41,317.31,49.898,0.28515
1.0718,169.36,331.9,334.02,49.763,0.30012
1.1218,186.36,348.25,350.61,49.628,0.31497
1.1718,204.18,364.52,367.13,49.494,0.3298
1.2218,222.82,380.72,383.58,49.361,0.3446
1.2718,242.25,396.78,399.9,49.228,0.35925
1.3218,262.49,412.71,416.07,49.097,0.3738
1.3718,283.52,428.47,432.06,48.966,0.38815
1.4218,305.33,444.05,447.86,48.837,0.40229
1.4718,327.92,459.43,463.43,48.709,0.41627
1.5218,351.27,474.61,478.77,48.583,0.43004
1.5718,375.38,489.62,493.92,48.458,0.44364
1.6218,400.23,504.46,508.89,48.334,0.45712
1.6718,425.82,519.17,523.72,48.21,0.4705
1.7218,452.14,533.75,538.43,48.088,0.48376
1.7718,479.19,548.2,553.03,47.966,0.49691
1.8218,506.96,562.52,567.52,47.845,0.50996
1.8718,535.44,576.72,581.93,47.724,0.52295
1.9218,564.63,590.79,596.23,47.603,0.53585
1.9718,594.51,604.34,610.01,47.484,0.54827
2.0218,624.94,612.94,618.79,47.384,0.55623
2.0718,655.6,613.39,619.3,47.329,0.55674
2.1218,686.19,610.38,616.29,17.073,0.5541
2.1718,716.63,607.3,613.19,17.073,0.55143
2.2218,746.92,604.25,610.11,17.073,0.54876
2.2718,777.06,601.22,607.05,17.073,0.54607
2.3218,807.04,598.19,604,17.073,0.54341
2.3718,836.88,595.15,600.97,17.073,0.54078
2.4218,866.56,592.12,597.96,17.073,0.53818
2.4718,896.09,589.1,594.96,17.073,0.53557
2.5218,925.47,586.1,591.97,17.073,0.53293
2.5718,954.7,583.12,589,17.073,0.5303
2.6218,983.78,580.17,586.05,17.073,0.5277
2.6718,1012.7,577.25,583.12,17.073,0.52509
2.7218,1041.5,574.34,580.2,17.073,0.52247
2.7718,1070.2,571.45,577.29,17.073,0.51988
2.8218,1098.7,568.57,574.4,17.073,0.51734
2.8718,1127,565.69,571.53,17.073,0.51482
2.9218,1155.2,562.82,568.66,17.073,0.5123
2.9718,1183.3,559.96,565.81,17.073,0.50979
3.0218,1211.2,557.12,562.98,17.073,0.50726
3.0718,1239,554.29,560.16,17.073,0.50474
3.1218,1266.6,551.48,557.35,17.073,0.50228
3.1718,1294.2,548.69,554.56,17.073,0.49986
3.2218,1321.5,545.92,551.78,17.073,0.49742
3.2718,1348.7,543.17,549.02,17.073,0.49499
3.3218,1375.8,540.42,546.27,17.073,0.49256
3.3718,1402.8,537.68,543.53,17.073,0.4901
3.4218,1429.6,534.94,540.8,17.073,0.48768
3.4718,1456.3,532.21,538.08,17.073,0.48532
3.5218,1482.8,529.5,535.38,17.073,0.483
3.5718,1509.2,526.81,532.69,17.073,0.48067
3.6218,1535.5,524.13,530.01,17.073,0.4783
3.6718,1561.6,521.46,527.35,17.073,0.47594
3.7218,1587.7,518.81,524.69,17.073,0.47359
3.7718,1613.5,516.17,522.05,17.073,0.47126
3.8218,1639.3,513.54,519.42,17.073,0.46893
3.8718,1664.9,510.91,516.8,17.073,0.46656
3.9218,1690.4,508.29,514.2,17.073,0.46426
3.9718,1715.7,505.69,511.6,17.073,0.46202
4.0218,1740.9,503.1,509.01,17.073,0.45973
4.0718,1766,500.52,506.44,17.073,0.45746
4.1218,1791,497.96,503.88,17.073,0.45522
4.1718,1815.8,495.4,501.33,17.073,0.453
4.2218,1840.5,492.86,498.78,17.073,0.45076
4.2718,1865.1,490.33,496.25,17.073,0.44848
4.3218,1889.6,487.8,493.73,17.073,0.44621
4.3718,1913.9,485.27,491.22,17.073,0.44394
4.4218,1938.1,482.76,488.72,17.073,0.44169
4.4718,1962.2,480.26,486.23,17.073,0.4395
4.5218,1986.1,477.77,483.75,17.073,0.43733
4.5718,2009.9,475.3,481.28,17.073,0.43518
4.6218,2033.6,472.84,478.82,17.073,0.43305
4.6718,2057.2,470.4,476.37,17.073,0.43086
4.7218,2080.7,467.95,473.93,17.073,0.42863
4.7718,2104,465.51,471.49,17.073,0.42645
4.8218,2127.2,463.08,469.07,17.073,0.4243
4.8718,2150.3,460.65,466.66,17.073,0.42216
4.9218,2173.3,458.23,464.25,17.073,0.42003
4.9718,2196.1,455.82,461.86,17.073,0.4179
5.0218,2218.9,453.42,459.47,17.073,0.41582
5.0718,2241.5,451.04,457.09,17.073,0.41376
5.1218,2264,448.67,454.73,17.073,0.41168
5.1243,2265.1,448.55,454.61,17.072,0.41158
5.128,2266.8,448.4,454.46,17.071,0.41146
5.1336,2269.3,448.26,454.32,17.071,0.41135
5.1421,2273.1,448.19,454.25,17.07,0.41132
5.1547,2278.8,448.4,454.47,17.068,0.41154
5.1737,2287.3,449.43,455.54,17.065,0.41249
5.2022,2300.1,451.52,457.68,17.058,0.41441
5.2449,2319.5,454.64,460.9,17.046,0.41722
5.2949,2342.3,458.39,464.76,17.03,0.42077
5.3449,2365.3,462.21,468.7,17.013,0.42433
5.3949,2388.5,466.1,472.71,16.995,0.42804
5.4449,2411.9,470.08,476.81,16.977,0.43179
5.4949,2435.5,474.14,480.99,16.959,0.43551
5.5449,2459.3,478.29,485.26,16.941,0.43944
5.5949,2483.4,482.52,489.62,16.922,0.4433
5.6449,2507.6,486.84,494.06,16.903,0.44739
5.6949,2532,491.25,498.59,16.884,0.45153
5.7449,2556.7,495.75,503.21,16.864,0.45569
5.7949,2581.6,500.29,507.87,16.845,0.46005
5.8449,2606.7,504.87,512.57,16.825,0.4644
5.8949,2632.1,509.51,517.33,16.805,0.46873
5.9449,2657.7,514.16,522.12,16.785,0.47311
5.9949,2683.5,518.81,526.92,16.765,0.47751
6.0449,2709.6,523.44,531.7,16.744,0.48197
6.0949,2735.9,528.05,536.46,16.724,0.48624
6.1449,2762.4,532.47,541.02,16.704,0.49045
6.1949,2789.1,536.77,545.46,16.685,0.4945
6.2449,2816.1,540.95,549.77,16.666,0.49842
6.2949,2843.2,545.01,553.96,16.647,0.50219
6.3449,2870.5,548.94,558.01,16.628,0.5059
6.3949,2898.1,552.71,561.9,16.61,0.50944
6.4449,2925.8,556.31,565.62,16.592,0.51293
6.4949,2953.7,559.71,569.14,16.575,0.51608
6.5449,2981.8,562.88,572.43,16.558,0.51911
6.5949,3010,565.81,575.48,16.542,0.52188
6.6449,3038.4,568.49,578.28,16.526,0.52446
6.6949,3066.8,570.52,580.41,16.512,0.52645
6.7449,3095.4,570.92,580.87,16.501,0.52709
6.7949,3123.9,569.44,579.4,16.495,0.52579
6.8449,3152.3,567.02,576.98,16.492,0.52364
6.8949,3180.6,564.34,574.3,16.491,0.52143
6.9449,3208.7,561.59,571.55,16.491,0.51907
6.9949,3236.7,558.79,568.77,16.491,0.51643
