 Time (s),Altitude (ft),Vertical velocity (ft/s),Total velocity (ft/s),Mass (lb),Mach number (?)
0,0,0,0,62.402,0.0074461
0.01,0,0,0,62.402,0.0074432
0.02,0.0019027,0.38054,0.38641,62.399,0.0075081
0.03,0.014022,2.0434,2.0749,62.386,0.0079728
0.04,0.046082,4.3687,4.4361,62.365,0.009017
0.05,0.1015,6.7161,6.8197,62.341,0.010406
0.06,0.18005,8.9937,9.1324,62.317,0.011976
0.07,0.28115,11.225,11.398,62.294,0.013645
0.08,0.40445,13.436,13.644,62.271,0.015386
0.09,0.54981,15.635,15.876,62.248,0.017175
0.1,0.71724,17.851,18.126,62.225,0.019021
0.11,0.90697,20.096,20.406,62.201,0.020855
0.12,1.1193,22.369,22.714,62.176,0.022746
0.13,1.3545,24.672,25.052,62.152,0.024687
0.14,1.6129,27.003,27.42,62.128,0.026674
0.15,1.8947,29.363,29.816,62.103,0.028703
0.16,2.2003,31.752,32.242,62.079,0.030787
0.17,2.5299,34.17,34.697,62.054,0.032906
0.17946,2.8639,36.483,37.046,62.031,0.034942
0.18831,3.1967,38.673,39.269,62.008,0.036875
0.19667,3.5285,40.759,41.388,61.987,0.038721
0.2092,4.059,43.902,44.59,61.961,0.041555
0.228,4.9285,48.606,49.383,61.921,0.045818
0.25619,6.3981,55.631,56.541,61.862,0.052194
0.29849,8.9725,66.102,67.208,61.772,0.061702
0.34849,12.587,78.49,79.83,61.654,0.072825
0.39849,16.825,91.027,92.603,61.527,0.084336
0.44849,21.693,103.68,105.5,61.399,0.095973
0.49849,27.195,116.42,118.47,61.271,0.10752
0.54849,33.339,129.32,131.62,61.14,0.11934
0.59849,40.133,142.45,145,61.009,0.13132
0.64849,47.586,155.71,158.53,60.877,0.14339
0.69849,55.704,168.99,172.08,60.743,0.15547
0.74849,64.487,182.33,185.7,60.609,0.16771
0.79849,73.939,195.75,199.43,60.475,0.18003
0.84849,84.063,209.24,213.24,60.34,0.19244
0.89849,94.864,222.78,227.12,60.205,0.20477
0.94849,106.34,236.32,241.04,60.069,0.21721
0.99849,118.5,249.83,254.94,59.933,0.22975
1.0485,131.32,263.26,268.78,59.798,0.24216
1.0985,144.82,276.57,282.54,59.663,0.25449
1.1485,158.98,289.78,296.23,59.529,0.26688
1.1985,173.79,302.92,309.87,59.395,0.27912
1.2485,189.27,315.95,323.44,59.263,0.29128
1.2985,205.39,328.85,336.88,59.13,0.30341
1.3485,222.15,341.6,350.2,58.999,0.31543
1.3985,239.54,354.19,363.36,58.87,0.32721
1.4485,257.56,366.61,376.36,58.741,0.33878
1.4985,276.2,378.87,389.19,58.614,0.35035
1.5485,295.45,390.98,401.85,58.488,0.36165
1.5985,315.29,402.99,414.39,58.364,0.37287
1.6485,335.74,414.91,426.81,58.24,0.38402
1.6985,356.78,426.78,439.14,58.117,0.39536
1.7485,378.42,438.6,451.39,57.995,0.40646
1.7985,400.64,450.39,463.58,57.874,0.41739
1.8485,423.46,462.12,475.7,57.752,0.42813
1.8985,446.85,473.79,487.77,57.631,0.43902
1.9485,470.83,485.34,499.73,57.511,0.44973
1.9985,495.34,495.02,509.79,57.399,0.45888
2.0485,520.18,498.6,513.59,57.321,0.46246
2.0985,545.07,497.07,512.11,57.29,0.46126
2.1485,569.86,494.49,509.57,17.073,0.45909
2.1985,594.52,491.85,506.99,17.073,0.45667
2.2485,619.05,489.2,504.41,17.073,0.45442
2.2985,643.44,486.59,501.85,17.073,0.45224
2.3485,667.71,484.02,499.3,17.073,0.44994
2.3985,691.84,481.48,496.76,17.073,0.44768
2.4485,715.86,478.97,494.23,17.073,0.44548
2.4985,739.74,476.48,491.72,17.073,0.44316
2.5485,763.5,474,489.22,17.073,0.44106
2.5985,787.14,471.51,486.72,17.073,0.43883
2.6485,810.65,469.01,484.24,17.073,0.43651
2.6985,834.04,466.5,481.76,17.073,0.43433
2.7485,857.3,463.99,479.3,17.073,0.43209
2.7985,880.44,461.48,476.84,17.073,0.42996
2.8485,903.45,458.99,474.4,17.073,0.42787
2.8985,926.34,456.53,471.97,17.073,0.42573
2.9485,949.11,454.09,469.54,17.073,0.42359
2.9985,971.75,451.67,467.13,17.073,0.4214
3.0485,994.27,449.27,464.73,17.073,0.41931
3.0985,1016.7,446.89,462.34,17.073,0.41729
3.1485,1039,444.51,459.95,17.073,0.4152
3.1985,1061.1,442.12,457.58,17.073,0.41311
3.2485,1083.2,439.73,455.21,17.073,0.41096
3.2985,1105.1,437.34,452.86,17.073,0.40903
3.3485,1126.9,434.95,450.51,17.073,0.40686
3.3985,1148.6,432.56,448.17,17.073,0.40476
3.4485,1170.2,430.18,445.84,17.073,0.40254
3.4985,1191.6,427.81,443.52,17.073,0.40041
3.5485,1212.9,425.46,441.2,17.073,0.39842
3.5985,1234.2,423.14,438.9,17.073,0.39642
3.6485,1255.3,420.84,436.61,17.073,0.39453
3.6985,1276.2,418.56,434.33,17.073,0.39228
3.7485,1297.1,416.28,432.05,17.073,0.39038
3.7985,1317.9,414.01,429.78,17.073,0.38837
3.8485,1338.5,411.73,427.52,17.073,0.38647
3.8985,1359,409.46,425.27,17.073,0.38451
3.9485,1379.5,407.18,423.03,17.073,0.3826
3.9985,1399.8,404.9,420.79,17.073,0.38067
4.0485,1420,402.62,418.56,17.073,0.37872
4.0985,1440,400.34,416.34,17.073,0.37672
4.1485,1460,398.08,414.12,17.073,0.37473
4.1985,1479.8,395.82,411.92,17.073,0.3728
4.2485,1499.6,393.58,409.72,17.073,0.37078
4.2985,1519.2,391.36,407.53,17.073,0.36886
4.3485,1538.7,389.15,405.35,17.073,0.36687
4.3985,1558.1,386.95,403.18,17.073,0.36487
4.4485,1577.4,384.77,401.01,17.073,0.36305
4.4985,1596.6,382.6,398.86,17.073,0.3612
4.5485,1615.7,380.43,396.7,17.073,0.35922
4.5985,1634.6,378.26,394.56,17.073,0.35725
4.6485,1653.5,376.09,392.42,17.073,0.3554
4.6985,1672.2,373.91,390.29,17.073,0.35353
4.7485,1690.9,371.74,388.17,17.073,0.35162
4.7985,1709.4,369.57,386.05,17.073,0.34978
4.8485,1727.8,367.41,383.94,17.073,0.34796
4.8985,1746.2,365.25,381.84,17.073,0.34609
4.9485,1764.4,363.1,379.75,17.073,0.34415
4.9985,1782.5,360.96,377.66,17.073,0.34226
5.0485,1800.5,358.83,375.58,17.073,0.34026
5.0985,1818.3,356.71,373.5,17.073,0.33836
5.1485,1836.1,354.6,371.44,17.073,0.33651
5.151,1837,354.5,371.33,17.072,0.33642
5.1547,1838.3,354.37,371.21,17.071,0.33631
5.1604,1840.3,354.25,371.1,17.071,0.33622
5.1688,1843.3,354.21,371.08,17.07,0.33621
5.1815,1847.8,354.46,371.38,17.068,0.3365
5.2004,1854.5,355.52,372.56,17.065,0.33758
5.2289,1864.7,357.65,374.87,17.058,0.33976
5.2716,1880,360.84,378.35,17.046,0.34295
5.3216,1898.2,364.67,382.52,17.03,0.34665
5.3716,1916.5,368.56,386.76,17.013,0.35041
5.4216,1935,372.5,391.08,16.995,0.35436
5.4716,1953.8,376.53,395.49,16.977,0.35841
5.5216,1972.7,380.63,399.99,16.959,0.36252
5.5716,1991.8,384.8,404.57,16.941,0.3667
5.6216,2011.2,389.04,409.25,16.922,0.37093
5.6716,2030.7,393.36,414.01,16.903,0.37525
5.7216,2050.5,397.77,418.86,16.884,0.37968
5.7716,2070.5,402.26,423.8,16.864,0.38425
5.8216,2090.7,406.81,428.79,16.845,0.38882
5.8716,2111.2,411.39,433.82,16.825,0.39338
5.9216,2131.9,416.04,438.91,16.805,0.39798
5.9716,2152.8,420.71,444.03,16.785,0.40264
6.0216,2174,425.39,449.17,16.765,0.40735
6.0716,2195.3,430.06,454.29,16.744,0.41211
6.1216,2217,434.69,459.39,16.724,0.41681
6.1716,2238.8,439.14,464.29,16.704,0.42128
6.2216,2260.9,443.45,469.08,16.685,0.42565
6.2716,2283.2,447.64,473.73,16.666,0.42982
6.3216,2305.6,451.7,478.27,16.647,0.43391
6.3716,2328.3,455.63,482.67,16.628,0.43795
6.4216,2351.2,459.43,486.91,16.61,0.44178
6.4716,2374.3,463.06,490.98,16.592,0.44549
6.5216,2397.5,466.52,494.85,16.575,0.449
6.5716,2420.9,469.78,498.5,16.558,0.45224
6.6216,2444.5,472.8,501.91,16.542,0.45536
6.6716,2468.2,475.59,505.07,16.526,0.45827
6.7216,2492,477.74,507.56,16.512,0.46053
6.7716,2515.9,478.32,508.37,16.501,0.4613
6.8216,2539.8,477.08,507.27,16.495,0.46028
6.8716,2563.6,474.94,505.2,16.492,0.45845
6.9216,2587.3,472.56,502.87,16.491,0.45642
6.9716,2610.9,470.12,500.47,16.491,0.45432
7.0216,2634.3,467.65,498.03,16.491,0.4522
7.0716,2657.6,465.16,495.57,16.491,0.45011
7.1216,2680.8,462.68,493.12,16.49,0.44793
7.1716,2703.9,460.21,490.67,16.49,0.44571
7.2216,2726.8,457.74,488.24,16.49,0.44357
7.2716,2749.7,455.27,485.81,16.49,0.44147
7.3216,2772.4,452.82,483.4,16.49,0.4394
7.3716,2794.9,450.37,480.99,16.49,0.43727
7.4216,2817.4,447.92,478.6,16.49,0.43504
7.4716,2839.7,445.49,476.21,16.49,0.43288
7.5216,2861.9,443.06,473.84,16.49,0.43082
7.5716,2884,440.65,471.48,16.49,0.42872
7.6216,2906,438.26,469.12,16.49,0.42659
7.6716,2927.9,435.88,466.78,16.49,0.42462
7.7216,2949.6,433.52,464.44,16.49,0.42261
7.7716,2971.2,431.16,462.12,16.49,0.42053
7.8216,2992.7,428.8,459.8,16.49,0.41837
7.8716,3014.1,426.44,457.49,16.49,0.41634
7.9216,3035.4,424.08,455.2,16.49,0.41428
7.9716,3056.5,421.73,452.91,16.49,0.4122
8.0216,3077.5,419.38,450.63,16.49,0.41017
8.0716,3098.4,417.05,448.36,16.49,0.40814
8.1216,3119.2,414.73,446.1,16.49,0.40614
8.1716,3139.9,412.43,443.85,16.49,0.40418
8.2216,3160.5,410.14,441.6,16.49,0.40207
8.2716,3180.9,407.86,439.37,16.49,0.40008
8.3216,3201.3,405.59,437.15,16.49,0.39835
8.3716,3221.5,403.34,434.93,16.49,0.39662
8.4216,3241.6,401.09,432.72,16.49,0.39471
8.4716,3261.6,398.84,430.52,16.49,0.39271
8.5216,3281.5,396.58,428.32,16.49,0.39071
8.5716,3301.3,394.31,426.14,16.49,0.38873
8.6216,3320.9,392.04,423.96,16.49,0.38673
8.6716,3340.5,389.77,421.79,16.49,0.38459
8.7216,3359.9,387.52,419.63,16.49,0.3826
8.7716,3379.2,385.28,417.48,16.49,0.38067
8.8216,3398.4,383.07,415.34,16.49,0.37888
8.8716,3417.5,380.89,413.2,16.49,0.37704
8.9216,3436.5,378.72,411.07,16.49,0.37513
8.9716,3455.4,376.57,408.95,16.49,0.37331
9.0216,3474.2,374.42,406.84,16.49,0.37148
9.0716,3492.8,372.26,404.74,16.49,0.36967
