 Time (s),Altitude (ft),Vertical velocity (ft/s),Total velocity (ft/s),Mass (lb),Mach number (?)
2.1413,417.44,365.97,370.03,60.213,0.33289
2.1723,428.78,364.52,368.58,60.212,0.33157
2.2058,440.96,362.96,367.02,60.212,0.33014
2.2548,458.69,360.68,364.74,60.212,0.3281
2.3048,476.67,358.35,362.42,60.212,0.32602
2.3548,494.53,356.03,360.12,60.212,0.32404
2.403,511.63,353.8,357.9,60.212,0.32203
2.4453,526.56,351.86,355.97,60.212,0.32038
2.4953,544.09,349.57,353.69,60.212,0.31836
2.5453,561.51,347.29,351.42,60.212,0.3164
2.5953,578.82,345.03,349.16,60.212,0.3145
2.6379,593.48,343.11,347.25,60.212,0.31288
2.6784,607.35,341.3,345.43,60.212,0.31124
2.7284,624.36,339.06,343.19,60.212,0.30917
2.7784,641.26,336.82,340.97,60.212,0.30714
2.8284,658.04,334.58,338.75,60.212,0.3051
2.8686,671.44,332.79,336.97,60.212,0.30349
2.9106,685.4,330.92,335.12,60.212,0.30186
2.9606,701.89,328.72,332.93,60.212,0.29996
3.0106,718.27,326.53,330.75,60.212,0.29802
3.0606,734.54,324.35,328.57,60.212,0.29616
3.1025,748.07,322.53,326.76,60.212,0.29448
3.1509,763.64,320.44,324.66,60.212,0.29269
3.2009,779.61,318.28,322.51,60.212,0.2907
3.2509,795.47,316.12,320.37,60.212,0.28882
3.3009,811.22,313.97,318.23,60.212,0.28689
3.3509,826.87,311.82,316.1,60.212,0.28496
3.399,841.82,309.76,314.06,60.212,0.2832
3.449,857.25,307.63,311.95,60.212,0.28137
3.499,872.58,305.51,309.84,60.212,0.27935
3.549,887.81,303.4,307.75,60.212,0.27748
3.599,902.92,301.31,305.66,60.212,0.27564
3.649,917.94,299.22,303.58,60.212,0.27375
3.699,932.84,297.13,301.5,60.212,0.27189
3.749,947.65,295.05,299.44,60.212,0.26999
3.799,962.35,292.98,297.38,60.212,0.26814
3.849,976.95,290.91,295.32,60.212,0.26633
3.899,991.44,288.84,293.28,60.212,0.26448
3.949,1005.8,286.78,291.24,60.212,0.26267
3.999,1020.1,284.73,289.21,60.212,0.26094
4.049,1034.3,282.69,287.18,60.212,0.25924
4.099,1048.4,280.66,285.16,60.212,0.25748
4.149,1062.4,278.64,283.15,60.212,0.25564
4.199,1076.3,276.62,281.15,60.212,0.25383
4.249,1090,274.6,279.15,60.212,0.25209
4.299,1103.7,272.6,277.16,60.212,0.25019
4.349,1117.3,270.59,275.17,60.212,0.24846
4.399,1130.8,268.59,273.19,60.212,0.24672
4.449,1144.2,266.6,271.22,60.212,0.24498
4.499,1157.4,264.61,269.25,60.212,0.24318
4.549,1170.6,262.63,267.29,60.212,0.24141
4.599,1183.7,260.65,265.34,60.212,0.23964
4.649,1196.7,258.68,263.39,60.212,0.23785
4.699,1209.6,256.72,261.45,60.212,0.23634
4.749,1222.4,254.77,259.51,60.212,0.23471
4.799,1235,252.82,257.58,60.212,0.233
4.849,1247.6,250.88,255.66,60.212,0.23114
4.899,1260.1,248.94,253.74,60.212,0.22949
4.949,1272.5,247.01,251.83,60.212,0.22779
4.999,1284.8,245.07,249.92,60.212,0.22611
5.049,1297,243.14,248.01,60.212,0.22439
5.099,1309.1,241.22,246.12,60.212,0.22269
5.1413,1319.3,239.6,244.52,60.212,0.22125
5.1913,1331.2,237.68,242.63,60.212,0.21963
5.2413,1343.1,235.78,240.75,60.212,0.21793
5.2913,1354.8,233.87,238.87,60.212,0.21621
5.3413,1366.5,231.98,237,60.212,0.21455
5.3912,1378,230.09,235.14,60.212,0.21292
5.4412,1389.5,228.21,233.28,60.212,0.2113
5.4912,1400.8,226.33,231.42,60.212,0.20957
5.5412,1412.1,224.45,229.57,60.212,0.20787
5.5912,1423.3,222.58,227.73,60.212,0.20626
5.6412,1434.4,220.72,225.89,60.212,0.20459
5.6912,1445.3,218.85,224.05,60.212,0.20308
5.7412,1456.2,216.99,222.22,60.212,0.20142
5.7912,1467,215.13,220.4,60.212,0.19986
5.8412,1477.8,213.28,218.58,60.212,0.19814
5.8912,1488.4,211.43,216.76,60.212,0.19658
5.9412,1498.9,209.58,214.95,60.212,0.19509
5.9912,1509.3,207.74,213.14,60.212,0.19341
6.0412,1519.7,205.91,211.34,60.212,0.19175
6.0912,1529.9,204.08,209.54,60.212,0.1901
6.1412,1540.1,202.25,207.75,60.212,0.18849
6.1912,1550.1,200.43,205.96,60.212,0.18701
6.2412,1560.1,198.61,204.18,60.212,0.1855
6.2912,1570,196.8,202.4,60.212,0.18394
6.3412,1579.8,194.99,200.63,60.212,0.18231
6.3912,1589.5,193.19,198.86,60.212,0.1808
6.4412,1599.1,191.39,197.09,60.212,0.17927
6.4912,1608.6,189.59,195.33,60.212,0.1777
6.5412,1618.1,187.79,193.57,60.212,0.17614
6.5912,1627.4,186,191.82,60.212,0.17465
