0.3, 0, 0, 28.39912, 11.46451, 0, 966.736, -1289.057, -3.194287, 0.02042972, 0.1612821, 43.01623, 3.13655, 2.377186, 93.4938
 
0.31, -0.1779062, 0, 28.82548, 11.33979, 1.2718125633212592322650620572, 1029.667, -1289.716, -3.194287, 0.02042972, 0.1612821, 44.39517, 2.998772, 2.376758, 93.53871
 
0.32, -0.1837894, -0.001779062, 29.34536, 11.30842, 1.2321357488225421159275987981, 1094.542, -1290.375, -3.194287, 0.02042972, 0.1612821, 45.77334, 3.002488, 2.37633, 93.58361
 
0.33, -0.1895956, -0.003616956, 29.88858, 11.30021, 1.1945764357316181352347887346, 1161.354, -1291.034, -3.194287, 0.02042972, 0.1612821, 47.15071, 3.006036, 2.375902, 93.62851
 
0.3399999, -0.1953294, -0.005512911, 30.43731, 11.29662, 1.1589214029046952041969722346, 1230.191, -1291.694, -3.194287, 0.02042972, 0.1612821, 48.52908, 3.009431, 2.375474, 93.67342
 
0.3499999, -0.200976, -0.007466205, 30.99783, 11.30386, 1.1249421248231958838689156561, 1301.068, -1292.354, -3.194287, 0.02042972, 0.1612821, 49.90865, 3.012693, 2.375046, 93.71832
 
0.3599999, -0.2064697, -0.009475965, 31.53253, 11.2871, 1.0924714420538396391338138404, 1373.615, -1293.014, -3.194287, 0.02042972, 0.1612821, 51.28244, 3.015833, 2.374619, 93.76322
 
0.3699999, -0.2118213, -0.01154066, 32.02868, 11.23388, 1.0615126234922047954592771210, 1447.764, -1293.675, -3.194287, 0.02042972, 0.1612821, 52.64968, 3.018849, 2.374191, 93.80812
 
0.3799999, -0.2170725, -0.01365888, 32.55098, 11.20619, 1.0319300099715501363555441318, 1523.877, -1294.337, -3.194287, 0.02042972, 0.1612821, 54.01728, 3.02175, 2.373763, 93.85303
 
0.3899999, -0.2221895, -0.0158296, 33.10828, 11.21259, 1.0034558492262884817694842117, 1601.998, -1294.998, -3.194287, 0.02042972, 0.1612821, 55.386, 3.024561, 2.373335, 93.89793
 
0.3999999, -0.2271267, -0.0180515, 33.64837, 11.2027, 0.9759730553600348643263742725, 1681.857, -1295.66, -3.194287, 0.02042972, 0.1612821, 56.75121, 3.027292, 2.372907, 93.94283
 
0.4099999, -0.2318853, -0.02032276, 34.16477, 11.17027, 0.9494655810671982396690230405, 1763.404, -1296.322, -3.194287, 0.02042972, 0.1612821, 58.11233, 3.029942, 2.372479, 93.98773
 
0.4199999, -0.2364848, -0.02264162, 34.69737, 11.15334, 0.9238491779934007367398870090, 1846.909, -1296.985, -3.194287, 0.02042972, 0.1612821, 59.47401, 3.032518, 2.372051, 94.03263
 
0.4299999, -0.2408939, -0.02500646, 35.25492, 11.16048, 0.8989642645996648640038480981, 1932.405, -1297.648, -3.194287, 0.02042972, 0.1612821, 60.83674, 3.035035, 2.371623, 94.07754
 
0.4399998, -0.245069, -0.0274154, 35.7944, 11.15051, 0.8747347647705734226886807660, 2019.596, -1298.312, -3.194287, 0.02042972, 0.1612821, 62.19589, 3.037499, 2.371195, 94.12244
 
0.4499998, -0.24901, -0.02986609, 36.31011, 11.11795, 0.8511612728507825556363866860, 2108.428, -1298.975, -3.194287, 0.02042972, 0.1612821, 63.55092, 3.03991, 2.370768, 94.16734
 
0.4599998, -0.2527302, -0.03235619, 36.84203, 11.10093, 0.8281856916505855713791814129, 2199.199, -1299.64, -3.194287, 0.02042972, 0.1612821, 64.90647, 3.042273, 2.370339, 94.21224
 
0.4699998, -0.2561953, -0.0348835, 37.39816, 11.10726, 0.8056890036534854689032381013, 2291.945, -1300.304, -3.194287, 0.02042972, 0.1612821, 66.26303, 3.044598, 2.369912, 94.25714
 
0.4799998, -0.2593861, -0.03744545, 37.9516, 11.11048, 0.7836156376345452190835069497, 2386.593, -1300.969, -3.194287, 0.02042972, 0.1612821, 67.61953, 3.046891, 2.369484, 94.30205
 
0.4899998, -0.2622895, -0.04003931, 38.49916, 11.10745, 0.7619355791888591740206168898, 2483.13, -1301.635, -3.194287, 0.02042972, 0.1612821, 68.97581, 3.049155, 2.369056, 94.34695
 
0.4999998, -0.2648849, -0.0426622, 39.04787, 11.10519, 0.7406085614662756575450921304, 2581.556, -1302.301, -3.194287, 0.02042972, 0.1612821, 70.33188, 3.051393, 2.368628, 94.39185
 
0.5099998, -0.2671544, -0.04531105, 39.59614, 11.10214, 0.7195968435814081982453038849, 2681.868, -1302.966, -3.194287, 0.02042972, 0.1612821, 71.68773, 3.053609, 2.3682, 94.43675
 
0.5199998, -0.2690783, -0.0479826, 40.14555, 11.09987, 0.6988656563721361803033396010, 2784.065, -1303.633, -3.194287, 0.02042972, 0.1612821, 73.04336, 3.055806, 2.367772, 94.48166
 
0.5299998, -0.2706375, -0.05067338, 40.69452, 11.09681, 0.6783826080549442430681136491, 2888.145, -1304.3, -3.194287, 0.02042972, 0.1612821, 74.39877, 3.057987, 2.367344, 94.52656
 
0.5399998, -0.2718112, -0.05337976, 41.24461, 11.09452, 0.6581190215003870870222446841, 2994.103, -1304.967, -3.194287, 0.02042972, 0.1612821, 75.75392, 3.060155, 2.366916, 94.57146
 
0.5499998, -0.27258, -0.05609787, 41.79425, 11.09144, 0.6380474082683257548858378552, 3101.939, -1305.635, -3.194287, 0.02042972, 0.1612821, 77.10885, 3.062313, 2.366488, 94.61636
 
0.5599998, -0.2729165, -0.05882367, 42.34308, 11.08756, 0.6181444403311786285939089089, 3211.577, -1306.302, -3.194287, 0.02042972, 0.1612821, 78.46262, 3.064462, 2.36606, 94.66126
 
0.5699998, -0.2728014, -0.06155283, 42.87881, 11.07114, 0.5983946647280018914614929657, 3322.898, -1306.971, -3.194287, 0.02042972, 0.1612821, 79.8139, 3.066605, 2.365633, 94.70617
 
0.5799997, -0.2722143, -0.06428085, 43.41003, 11.05077, 0.5787873832550711523070542697, 3435.891, -1307.639, -3.194287, 0.02042972, 0.1612821, 81.16267, 3.068743, 2.365205, 94.75107
 
0.5899997, -0.2711438, -0.06700299, 43.94371, 11.03272, 0.5593040226420138175376331984, 3550.698, -1308.308, -3.194287, 0.02042972, 0.1612821, 82.51073, 3.070876, 2.364777, 94.79597
 
0.5999997, -0.269562, -0.06971443, 44.50607, 11.04213, 0.5399135283807793324690214846, 3667.55, -1308.978, -3.194287, 0.02042972, 0.1612821, 83.86076, 3.073009, 2.364349, 94.84087
 
0.6099997, -0.2674535, -0.07241005, 45.07438, 11.05626, 0.5205851431356519002153431574, 3786.458, -1309.647, -3.194287, 0.02042972, 0.1612821, 85.2128, 3.075145, 2.363921, 94.88577
 
0.6199997, -0.2647953, -0.07508458, 45.64119, 11.06805, 0.5013092088060312343170906750, 3907.343, -1310.318, -3.194287, 0.02042972, 0.1612821, 86.5659, 3.077285, 2.363493, 94.93068
 
0.6299997, -0.2615705, -0.07773253, 46.20331, 11.07433, 0.4820809706347097961638686197, 4030.199, -1310.988, -3.194287, 0.02042972, 0.1612821, 87.91993, 3.079429, 2.363065, 94.97558
 
0.6399997, -0.2577426, -0.08034824, 46.75379, 11.0696, 0.4628959710367969746040633114, 4154.7, -1311.659, -3.194287, 0.02042972, 0.1612821, 89.27139, 3.081578, 2.362637, 95.02048
 
0.6499997, -0.2533088, -0.08292566, 47.2846, 11.04596, 0.4437646110437017192220579814, 4280.797, -1312.33, -3.194287, 0.02042972, 0.1612821, 90.61987, 3.083731, 2.362209, 95.06538
 
0.6599997, -0.248246, -0.08545875, 47.82784, 11.03411, 0.4246805014504154417806183399, 4408.814, -1313.002, -3.194287, 0.02042972, 0.1612821, 91.96888, 3.085889, 2.361781, 95.11029
 
0.6699997, -0.2425199, -0.08794121, 48.39075, 11.04115, 0.4056238802972666357574443362, 4538.788, -1313.674, -3.194287, 0.02042972, 0.1612821, 93.3188, 3.088053, 2.361353, 95.15519
 
0.6799996, -0.2361301, -0.09036641, 48.95886, 11.05215, 0.3865910329301867258804608982, 4670.84, -1314.346, -3.194287, 0.02042972, 0.1612821, 94.67083, 3.090224, 2.360926, 95.20009
 
0.6899996, -0.2290537, -0.09272771, 49.53303, 11.06788, 0.3675761644888202950311769833, 4804.99, -1315.019, -3.194287, 0.02042972, 0.1612821, 96.02509, 3.092403, 2.360498, 95.245
 
0.6999996, -0.2212749, -0.09501825, 50.10568, 11.08126, 0.3485819495240999268666057435, 4941.128, -1315.692, -3.194287, 0.02042972, 0.1612821, 97.38041, 3.09459, 2.36007, 95.28989
 
0.7099996, -0.2127844, -0.09723099, 50.67279, 11.08833, 0.3296155201718458444721155846, 5079.243, -1316.366, -3.194287, 0.02042972, 0.1612821, 98.73665, 3.096783, 2.359642, 95.3348
 
0.7199996, -0.2035633, -0.09935883, 51.23991, 11.09461, 0.3106814826031086085903402688, 5219.338, -1317.04, -3.194287, 0.02042972, 0.1612821, 100.0938, 3.098982, 2.359214, 95.3797
 
0.7299996, -0.1935992, -0.1013945, 51.80777, 11.10089, 0.2917865231952196783638126765, 5361.413, -1317.714, -3.194287, 0.02042972, 0.1612821, 101.4519, 3.101187, 2.358786, 95.42461
 
0.7399996, -0.1828787, -0.1033305, 52.37802, 11.10877, 0.2729353967053925358494450782, 5505.472, -1318.389, -3.194287, 0.02042972, 0.1612821, 102.8108, 3.103397, 2.358358, 95.46951
 
0.7499996, -0.1713971, -0.1051592, 52.94664, 11.11426, 0.2541368697172395385896694727, 5651.517, -1319.063, -3.194287, 0.02042972, 0.1612821, 104.1707, 3.105611, 2.35793, 95.51441
 
0.7599996, -0.1591447, -0.1068732, 53.51491, 11.11896, 0.2354014918483280998982599603, 5799.458, -1319.739, -3.194287, 0.02042972, 0.1612821, 105.5306, 3.107827, 2.357502, 95.55931
 
0.7699996, -0.1461227, -0.1084647, 54.078, 11.11811, 0.2167396641300627117747121328, 5949.283, -1320.414, -3.194287, 0.02042972, 0.1612821, 106.8905, 3.110045, 2.357074, 95.60421
 
0.7799996, -0.1323254, -0.1099259, 54.6415, 11.11727, 0.1981641649724546072469777173, 6100.993, -1321.091, -3.194287, 0.02042972, 0.1612821, 108.2504, 3.112262, 2.356646, 95.64912
 
0.7899995, -0.1177519, -0.1112491, 55.20615, 11.1172, 0.1796862869238858062002233562, 6254.583, -1321.767, -3.194287, 0.02042972, 0.1612821, 109.6102, 3.114478, 2.356219, 95.69402
 
0.7999995, -0.102409, -0.1124267, 55.77117, 11.11713, 0.1613213343591372040051354204, 6410.053, -1322.444, -3.194287, 0.02042972, 0.1612821, 110.97, 3.116689, 2.355791, 95.73892
 
